Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
824,825,8:45:00,PTBA,B,RG,2500,25,25,D,,Open
1203,1204,8:45:00,PTBA,B,RG,2500,50,50,D,,Open
3734,3735,8:45:00,PTBA,B,RG,2500,1,1,D,,Open
5563,5564,8:45:00,PTBA,B,RG,2500,5000,5000,D,,Open
6258,6259,8:45:00,PTBA,B,RG,2500,10,10,D,,Open
7314,7315,8:45:00,PTBA,B,RG,2500,1,1,D,,Open
8839,8840,8:45:00,PTBA,B,RG,2500,1,1,D,,Open
11592,11593,8:45:00,PTBA,B,RG,2500,44,44,D,,Open
12199,12200,8:45:00,PTBA,B,RG,2500,1,1,D,,Open
12816,12817,8:45:00,PTBA,B,RG,2500,20,20,D,,Open
13313,13314,8:45:00,PTBA,B,RG,2500,60,60,D,,Open
14239,14240,8:45:00,PTBA,B,RG,2500,60,60,D,,Open
14829,14830,8:45:00,PTBA,B,RG,2500,3,3,D,,Open
16246,16247,8:45:00,PTBA,B,RG,2500,5,5,D,,Open
18128,18129,8:45:01,PTBA,B,RG,2500,10,0,D,,Withdrawn
20010,20011,8:45:01,PTBA,B,RG,2500,1,1,D,,Open
22241,22242,8:45:01,PTBA,B,RG,2500,2000,2000,D,,Open
25084,25085,8:45:01,PTBA,B,RG,2500,200,200,D,,Open
25799,25800,8:45:01,PTBA,B,RG,2500,500,500,D,,Open
30181,30182,8:45:01,PTBA,B,RG,2500,9,9,D,,Open
32316,32317,8:45:01,PTBA,B,RG,2500,100,100,D,,Open
34801,34802,8:45:02,PTBA,B,RG,2500,2,2,D,,Open
36558,36559,8:45:02,PTBA,B,RG,2500,100,100,D,,Open
38541,38542,8:45:02,PTBA,B,RG,2500,25,0,D,,Withdrawn
40150,40151,8:45:03,PTBA,B,RG,2500,1,1,D,,Open
41800,41801,8:45:03,PTBA,B,RG,2500,15,15,D,,Open
41841,41842,8:45:03,PTBA,B,RG,2500,1,1,D,,Open
42868,42869,8:45:03,PTBA,B,RG,2500,20,20,D,,Open
45953,45954,8:45:04,PTBA,B,RG,2500,50,50,D,,Open
46715,46716,8:45:04,PTBA,B,RG,2500,25,0,D,,Withdrawn
47082,47083,8:45:04,PTBA,B,RG,2500,1000,1000,D,,Open
50060,50061,8:45:05,PTBA,B,RG,2500,20,20,D,,Open
55127,55128,8:45:07,PTBA,B,RG,2500,1,1,D,,Open
56751,56752,8:45:07,PTBA,B,RG,2500,200,0,D,,Withdrawn
57185,57186,8:45:08,PTBA,B,RG,2500,5,5,D,,Open
57364,57365,8:45:08,PTBA,B,RG,2500,50,50,D,,Open
57400,57401,8:45:08,PTBA,B,RG,2500,2,2,D,,Open
57705,57706,8:45:09,PTBA,B,RG,2500,10,10,D,,Open
59767,59768,8:45:10,PTBA,B,RG,2500,30,30,D,,Open
59941,59942,8:45:11,PTBA,B,RG,2500,5,5,D,,Open
61658,61659,8:45:13,PTBA,B,RG,2500,90,90,D,,Open
62316,62317,8:45:14,PTBA,B,RG,2500,10,10,D,,Open
63079,63080,8:45:15,PTBA,B,RG,2500,10,10,D,,Open
64153,64154,8:45:17,PTBA,B,RG,2500,10,10,D,,Open
67015,67016,8:45:21,PTBA,B,RG,2500,100,100,D,,Open
68029,68030,8:46:01,PTBA,B,RG,2500,1,1,D,,Open
68551,68552,8:46:15,PTBA,B,RG,2500,8,0,D,,Amended
69287,69288,8:47:14,PTBA,B,RG,2500,100,100,D,,Open
69386,69387,8:47:21,PTBA,B,RG,2500,1,1,D,,Open
69750,69751,8:47:50,PTBA,B,RG,2500,30,30,D,,Open
70055,70056,8:48:16,PTBA,B,RG,2500,5,5,D,,Open
72748,72749,8:52:10,PTBA,B,RG,2500,5,5,D,,Open
73621,73622,8:53:23,PTBA,B,RG,2500,800,0,D,,Withdrawn
131895,131896,9:00:03,PTBA,B,RG,2500,160,0,D,,Withdrawn
147682,147683,9:00:04,PTBA,B,RG,2500,3,3,D,,Open
249433,249434,9:00:12,PTBA,B,RG,2500,20,20,D,,Open
280772,280773,9:00:20,PTBA,B,RG,2500,100,100,D,,Open
333145,333146,9:01:10,PTBA,B,RG,2500,50,50,D,,Open
432216,432217,9:05:06,PTBA,B,RG,2500,30,30,D,,Open
436601,436602,9:05:16,PTBA,B,RG,2500,4,4,D,,Open
505207,505208,9:08:13,PTBA,B,RG,2500,2,2,D,,Open
523388,523389,9:09:04,PTBA,B,RG,2500,100,100,D,,Open
673606,673607,9:16:47,PTBA,B,RG,2500,1,0,D,,Withdrawn
674774,674775,9:16:52,PTBA,B,RG,2500,5,5,D,,Open
709621,709622,9:18:52,PTBA,B,RG,2500,150,150,D,,Open
773504,773505,9:23:13,PTBA,B,RG,2500,1,1,D,,Open
829606,829607,9:27:08,PTBA,B,RG,2500,1,1,D,,Open
842049,842050,9:27:57,PTBA,B,RG,2500,5,5,F,,Open
959368,959369,9:36:07,PTBA,B,RG,2500,25,25,D,,Open
970670,970671,9:37:02,PTBA,B,RG,2500,150,150,D,,Open
1148449,1148450,9:53:30,PTBA,B,RG,2500,5,5,D,,Open
1149117,1149118,9:53:34,PTBA,B,RG,2500,1,1,D,,Open
1169545,1169546,9:55:44,PTBA,B,RG,2500,10,10,D,,Open
1184655,1184656,9:57:17,PTBA,B,RG,2500,5,5,D,,Open
1269952,1269953,10:07:36,PTBA,B,RG,2500,10,10,D,,Open
1394955,1394956,10:23:22,PTBA,B,RG,2500,8,8,D,,Open
1552580,1552581,10:44:53,PTBA,B,RG,2500,50,50,D,,Open
1810596,1810597,13:30:04,PTBA,B,RG,2500,10,0,D,,Amended
1817839,1817840,13:30:05,PTBA,B,RG,2500,5,5,D,,Open
1831583,1831584,13:30:06,PTBA,B,RG,2500,1,1,D,,Open
1832595,1832596,13:30:06,PTBA,B,RG,2500,200,200,D,,Open
1832855,1832856,13:30:06,PTBA,B,RG,2500,5,5,D,,Open
1836163,1836164,13:30:07,PTBA,B,RG,2500,10,10,D,,Open
1869838,1869839,13:32:33,PTBA,B,RG,2500,1,1,D,,Open
1920552,1920553,13:39:12,PTBA,B,RG,2500,1,1,D,,Open
2052572,2052573,13:57:26,PTBA,B,RG,2500,5,5,D,,Open
2126887,2126888,14:06:59,PTBA,B,RG,2500,1,1,D,,Open
2394914,2394915,14:41:54,PTBA,B,RG,2500,50,50,D,,Open
1201,1202,8:45:00,PTBA,B,RG,2510,30,30,D,,Open
3628,3629,8:45:00,PTBA,B,RG,2510,1,1,D,,Open
5634,5635,8:45:00,PTBA,B,RG,2510,50,50,D,,Open
7483,7484,8:45:00,PTBA,B,RG,2510,10,10,D,,Open
8908,8909,8:45:00,PTBA,B,RG,2510,15,15,D,,Open
15235,15236,8:45:00,PTBA,B,RG,2510,9,9,D,,Open
17729,17730,8:45:01,PTBA,B,RG,2510,15,15,D,,Open
49111,49112,8:45:05,PTBA,B,RG,2510,40,40,D,,Open
59438,59439,8:45:10,PTBA,B,RG,2510,30,30,D,,Open
59883,59884,8:45:11,PTBA,B,RG,2510,1,1,D,,Open
68027,68028,8:46:01,PTBA,B,RG,2510,3,3,D,,Open
69495,69496,8:47:30,PTBA,B,RG,2510,1,1,D,,Open
436593,436594,9:05:16,PTBA,B,RG,2510,20,20,D,,Open
713118,713119,9:19:06,PTBA,B,RG,2510,150,150,D,,Open
840043,840044,9:27:50,PTBA,B,RG,2510,3,3,F,,Open
1811988,1811989,13:30:04,PTBA,B,RG,2510,5,5,D,,Open
1812026,1812027,13:30:04,PTBA,B,RG,2510,300,300,D,,Open
2530257,2530258,14:59:54,PTBA,B,RG,2510,1043,0,F,,Withdrawn
420,421,8:45:00,PTBA,B,RG,2520,50,50,D,,Open
3737,3738,8:45:00,PTBA,B,RG,2520,1,1,D,,Open
6331,6332,8:45:00,PTBA,B,RG,2520,10,10,D,,Open
8935,8936,8:45:00,PTBA,B,RG,2520,50,50,D,,Open
12882,12883,8:45:00,PTBA,B,RG,2520,1,1,D,,Open
15744,15745,8:45:00,PTBA,B,RG,2520,5,5,D,,Open
29626,29627,8:45:01,PTBA,B,RG,2520,1,1,D,,Open
36853,36854,8:45:02,PTBA,B,RG,2520,25,25,D,,Open
41875,41876,8:45:03,PTBA,B,RG,2520,10,10,D,,Open
43391,43392,8:45:03,PTBA,B,RG,2520,22,22,D,,Open
48746,48747,8:45:05,PTBA,B,RG,2520,260,260,D,,Open
53522,53523,8:45:06,PTBA,B,RG,2520,25,25,D,,Open
56106,56107,8:45:07,PTBA,B,RG,2520,1,1,D,,Open
60615,60616,8:45:12,PTBA,B,RG,2520,20,20,D,,Open
61421,61422,8:45:13,PTBA,B,RG,2520,100,100,D,,Open
67900,67901,8:46:01,PTBA,B,RG,2520,1,1,D,,Open
295623,295624,9:00:29,PTBA,B,RG,2520,10,10,D,,Open
438532,438533,9:05:21,PTBA,B,RG,2520,20,20,D,,Open
771892,771893,9:23:06,PTBA,B,RG,2520,1,1,D,,Open
1174041,1174042,9:56:11,PTBA,B,RG,2520,20,0,D,,Withdrawn
1549552,1549553,10:44:27,PTBA,B,RG,2520,30,30,D,,Open
2182510,2182511,14:13:28,PTBA,B,RG,2520,40,40,D,,Open
3679,3680,8:45:00,PTBA,B,RG,2530,1,1,D,,Open
5749,5750,8:45:00,PTBA,B,RG,2530,2,2,D,,Open
7505,7506,8:45:00,PTBA,B,RG,2530,10,10,D,,Open
26438,26439,8:45:01,PTBA,B,RG,2530,100,100,D,,Open
33545,33546,8:45:02,PTBA,B,RG,2530,5,5,D,,Open
42991,42992,8:45:03,PTBA,B,RG,2530,100,100,D,,Open
68025,68026,8:46:01,PTBA,B,RG,2530,3,3,D,,Open
68156,68157,8:46:02,PTBA,B,RG,2530,1,1,D,,Open
73490,73491,8:53:12,PTBA,B,RG,2530,3,3,D,,Open
73554,73555,8:53:18,PTBA,B,RG,2530,10,10,D,,Open
440199,440200,9:05:25,PTBA,B,RG,2530,20,20,D,,Open
481482,481483,9:07:11,PTBA,B,RG,2530,4,4,D,,Open
519659,519660,9:08:53,PTBA,B,RG,2530,50,50,D,,Open
526980,526981,9:09:14,PTBA,B,RG,2530,80,80,D,,Open
838576,838577,9:27:44,PTBA,B,RG,2530,3,3,F,,Open
1242,1243,8:45:00,PTBA,B,RG,2540,50,50,D,,Open
3414,3415,8:45:00,PTBA,B,RG,2540,1,1,D,,Open
5472,5473,8:45:00,PTBA,B,RG,2540,4,4,D,,Open
6349,6350,8:45:00,PTBA,B,RG,2540,10,10,D,,Open
9192,9193,8:45:00,PTBA,B,RG,2540,2,2,D,,Open
20289,20290,8:45:01,PTBA,B,RG,2540,1,1,D,,Open
27321,27322,8:45:01,PTBA,B,RG,2540,10,10,D,,Open
31896,31897,8:45:01,PTBA,B,RG,2540,20,20,D,,Open
40148,40149,8:45:03,PTBA,B,RG,2540,1,1,D,,Open
59938,59939,8:45:11,PTBA,B,RG,2540,5,5,D,,Open
61277,61278,8:45:13,PTBA,B,RG,2540,15,15,D,,Open
68024,68025,8:46:01,PTBA,B,RG,2540,1,1,D,,Open
299067,299068,9:00:32,PTBA,B,RG,2540,20,20,D,,Open
442121,442122,9:05:30,PTBA,B,RG,2540,50,50,D,,Open
639736,639737,9:14:53,PTBA,B,RG,2540,170,170,D,,Open
658047,658048,9:15:57,PTBA,B,RG,2540,1,1,D,,Open
770117,770118,9:22:58,PTBA,B,RG,2540,1,1,D,,Open
2530110,2530111,14:59:53,PTBA,B,RG,2540,1004,0,F,,Withdrawn
1429,1430,8:45:00,PTBA,B,RG,2550,500,500,D,,Open
3443,3444,8:45:00,PTBA,B,RG,2550,1,1,D,,Open
8548,8549,8:45:00,PTBA,B,RG,2550,150,150,D,,Open
9886,9887,8:45:00,PTBA,B,RG,2550,150,150,D,,Open
11326,11327,8:45:00,PTBA,B,RG,2550,10,0,D,,Amended
13466,13467,8:45:00,PTBA,B,RG,2550,50,50,D,,Open
14727,14728,8:45:00,PTBA,B,RG,2550,1,1,D,,Open
16993,16994,8:45:00,PTBA,B,RG,2550,3,3,D,,Open
17072,17073,8:45:00,PTBA,B,RG,2550,40,40,D,,Open
21079,21080,8:45:01,PTBA,B,RG,2550,100,100,D,,Open
24479,24480,8:45:01,PTBA,B,RG,2550,20,20,D,,Open
25640,25641,8:45:01,PTBA,B,RG,2550,1,1,D,,Open
31248,31249,8:45:01,PTBA,B,RG,2550,10,10,D,,Open
33359,33360,8:45:02,PTBA,B,RG,2550,50,50,D,,Open
33812,33813,8:45:02,PTBA,B,RG,2550,1,1,D,,Open
36135,36136,8:45:02,PTBA,B,RG,2550,34,34,D,,Open
36492,36493,8:45:02,PTBA,B,RG,2550,80,80,D,,Open
37379,37380,8:45:02,PTBA,B,RG,2550,6,6,D,,Open
42249,42250,8:45:03,PTBA,B,RG,2550,10,10,D,,Open
43999,44000,8:45:03,PTBA,B,RG,2550,5,5,D,,Open
46410,46411,8:45:04,PTBA,B,RG,2550,50,50,D,,Open
48949,48950,8:45:05,PTBA,B,RG,2550,25,0,D,,Withdrawn
50476,50477,8:45:05,PTBA,B,RG,2550,50,50,D,,Open
56458,56459,8:45:07,PTBA,B,RG,2550,25,25,D,,Open
57636,57637,8:45:09,PTBA,B,RG,2550,16,16,D,,Open
64154,64155,8:45:17,PTBA,B,RG,2550,10,10,D,,Open
64377,64378,8:45:17,PTBA,B,RG,2550,1,1,D,,Open
64661,64662,8:45:18,PTBA,B,RG,2550,1,1,D,,Open
66228,66229,8:45:20,PTBA,B,RG,2550,21,21,D,,Open
67898,67899,8:46:01,PTBA,B,RG,2550,1,1,D,,Open
69572,69573,8:47:35,PTBA,B,RG,2550,500,500,D,,Open
73298,73299,8:52:58,PTBA,B,RG,2550,1,0,D,,Withdrawn
74510,74511,8:54:31,PTBA,B,RG,2550,500,500,D,,Open
357164,357165,9:02:02,PTBA,B,RG,2550,10,10,D,,Open
444213,444214,9:05:36,PTBA,B,RG,2550,20,20,D,,Open
487674,487675,9:07:27,PTBA,B,RG,2550,3,3,D,,Open
508336,508337,9:08:22,PTBA,B,RG,2550,300,300,D,,Open
837143,837144,9:27:38,PTBA,B,RG,2550,3,3,F,,Open
1096428,1096429,9:48:12,PTBA,B,RG,2550,26,26,D,,Open
1213753,1213754,10:00:41,PTBA,B,RG,2550,2,2,D,,Open
1373677,1373678,10:20:46,PTBA,B,RG,2550,2,0,D,,Amended
1551062,1551063,10:44:40,PTBA,B,RG,2550,50,50,D,,Open
1551483,1551484,10:44:43,PTBA,B,RG,2550,1,1,D,,Open
1553547,1553548,10:45:02,PTBA,B,RG,2550,500,500,D,,Open
1619033,1619034,10:55:25,PTBA,B,RG,2550,54,0,D,,Withdrawn
1638659,1638660,10:58:56,PTBA,B,RG,2550,5,5,D,,Open
1697882,1697883,11:10:05,PTBA,B,RG,2550,4,4,D,,Open
1799792,1799793,13:30:02,PTBA,B,RG,2550,48,48,D,,Open
1845244,1845245,13:30:09,PTBA,B,RG,2550,1,1,D,,Open
2140657,2140658,14:08:43,PTBA,B,RG,2550,1,1,D,,Open
1752,1753,8:45:00,PTBA,B,RG,2560,20,20,D,,Open
3422,3423,8:45:00,PTBA,B,RG,2560,1,1,D,,Open
15314,15315,8:45:00,PTBA,B,RG,2560,10,10,D,,Open
15432,15433,8:45:00,PTBA,B,RG,2560,390,390,D,,Open
21282,21283,8:45:01,PTBA,B,RG,2560,10,10,D,,Open
21302,21303,8:45:01,PTBA,B,RG,2560,10,10,D,,Open
24418,24419,8:45:01,PTBA,B,RG,2560,200,0,D,,Withdrawn
24473,24474,8:45:01,PTBA,B,RG,2560,10,10,D,,Open
26671,26672,8:45:01,PTBA,B,RG,2560,2,2,D,,Open
29628,29629,8:45:01,PTBA,B,RG,2560,90,90,D,,Open
32891,32892,8:45:02,PTBA,B,RG,2560,100,100,D,,Open
34072,34073,8:45:02,PTBA,B,RG,2560,1,1,D,,Open
34635,34636,8:45:02,PTBA,B,RG,2560,10,10,D,,Open
35329,35330,8:45:02,PTBA,B,RG,2560,100,100,D,,Open
37145,37146,8:45:02,PTBA,B,RG,2560,19,19,D,,Open
37437,37438,8:45:02,PTBA,B,RG,2560,40,40,D,,Open
38371,38372,8:45:02,PTBA,B,RG,2560,16,16,D,,Open
40144,40145,8:45:03,PTBA,B,RG,2560,1,1,D,,Open
43825,43826,8:45:03,PTBA,B,RG,2560,150,150,D,,Open
51136,51137,8:45:05,PTBA,B,RG,2560,29,29,D,,Open
53542,53543,8:45:06,PTBA,B,RG,2560,5,0,D,,Withdrawn
55666,55667,8:45:07,PTBA,B,RG,2560,25,25,D,,Open
55880,55881,8:45:07,PTBA,B,RG,2560,50,50,D,,Open
56741,56742,8:45:07,PTBA,B,RG,2560,8,8,D,,Open
57443,57444,8:45:08,PTBA,B,RG,2560,10,10,D,,Open
57532,57533,8:45:08,PTBA,B,RG,2560,8,8,D,,Open
57670,57671,8:45:09,PTBA,B,RG,2560,16,16,D,,Open
59766,59767,8:45:10,PTBA,B,RG,2560,30,30,D,,Open
62030,62031,8:45:13,PTBA,B,RG,2560,40,40,D,,Open
68023,68024,8:46:01,PTBA,B,RG,2560,3,3,D,,Open
68587,68588,8:46:18,PTBA,B,RG,2560,5,5,D,,Open
69398,69399,8:47:22,PTBA,B,RG,2560,5,5,D,,Open
353370,353371,9:01:53,PTBA,B,RG,2560,5,5,D,,Open
371097,371098,9:02:34,PTBA,B,RG,2560,4,4,D,,Open
446285,446286,9:05:40,PTBA,B,RG,2560,20,20,D,,Open
461152,461153,9:06:18,PTBA,B,RG,2560,20,20,D,,Open
1615224,1615225,10:54:52,PTBA,B,RG,2560,5,5,D,,Open
1796880,1796881,11:29:40,PTBA,B,RG,2560,10,0,D,,Withdrawn
1817801,1817802,13:30:05,PTBA,B,RG,2560,5,5,D,,Open
1822147,1822148,13:30:05,PTBA,B,RG,2560,100,100,D,,Open
1980323,1980324,13:47:04,PTBA,B,RG,2560,1,1,D,,Open
2200425,2200426,14:15:51,PTBA,B,RG,2560,1,0,D,,Withdrawn
2530043,2530044,14:59:52,PTBA,B,RG,2560,976,0,F,,Withdrawn
3421,3422,8:45:00,PTBA,B,RG,2570,1,1,D,,Open
13360,13361,8:45:00,PTBA,B,RG,2570,3,3,D,,Open
15876,15877,8:45:00,PTBA,B,RG,2570,5,5,D,,Open
22309,22310,8:45:01,PTBA,B,RG,2570,2,2,D,,Open
26234,26235,8:45:01,PTBA,B,RG,2570,2,2,D,,Open
42911,42912,8:45:03,PTBA,B,RG,2570,10,10,D,,Open
43453,43454,8:45:03,PTBA,B,RG,2570,5,5,D,,Open
50341,50342,8:45:05,PTBA,B,RG,2570,10,10,D,,Open
55692,55693,8:45:07,PTBA,B,RG,2570,5,0,D,,Withdrawn
55720,55721,8:45:07,PTBA,B,RG,2570,1,1,D,,Open
57870,57871,8:45:09,PTBA,B,RG,2570,16,16,D,,Open
65504,65505,8:45:19,PTBA,B,RG,2570,389,389,D,,Open
67897,67898,8:46:01,PTBA,B,RG,2570,1,1,D,,Open
237713,237714,9:00:11,PTBA,B,RG,2570,5,5,D,,Open
299024,299025,9:00:32,PTBA,B,RG,2570,15,15,D,,Open
338647,338648,9:01:17,PTBA,B,RG,2570,10,10,D,,Open
448609,448610,9:05:46,PTBA,B,RG,2570,20,20,D,,Open
510996,510997,9:08:29,PTBA,B,RG,2570,25,25,D,,Open
583560,583561,9:11:51,PTBA,B,RG,2570,8,8,D,,Open
767617,767618,9:22:47,PTBA,B,RG,2570,5,5,D,,Open
812380,812381,9:25:58,PTBA,B,RG,2570,10,10,D,,Open
835559,835560,9:27:32,PTBA,B,RG,2570,2,2,F,,Open
861383,861384,9:29:15,PTBA,B,RG,2570,1,1,D,,Open
919583,919584,9:33:13,PTBA,B,RG,2570,1,1,D,,Open
932082,932083,9:34:07,PTBA,B,RG,2570,10,10,D,,Open
938009,938010,9:34:33,PTBA,B,RG,2570,2,2,D,,Open
954852,954853,9:35:47,PTBA,B,RG,2570,25,0,D,,Withdrawn
969134,969135,9:36:55,PTBA,B,RG,2570,4,4,D,,Open
1042444,1042445,9:43:10,PTBA,B,RG,2570,6,6,D,,Open
1064469,1064470,9:45:11,PTBA,B,RG,2570,1,1,D,,Open
1110885,1110886,9:49:39,PTBA,B,RG,2570,1,0,D,,Withdrawn
1158304,1158305,9:54:33,PTBA,B,RG,2570,20,20,D,,Open
1202949,1202950,9:59:23,PTBA,B,RG,2570,30,30,D,,Open
1212882,1212883,10:00:34,PTBA,B,RG,2570,2,2,D,,Open
1332822,1332823,10:15:29,PTBA,B,RG,2570,10,10,D,,Open
1424701,1424702,10:27:32,PTBA,B,RG,2570,11,11,D,,Open
1497580,1497581,10:37:07,PTBA,B,RG,2570,3,3,D,,Open
1539211,1539212,10:42:55,PTBA,B,RG,2570,1,1,D,,Open
1584942,1584943,10:49:55,PTBA,B,RG,2570,2,2,D,,Open
1639769,1639770,10:59:08,PTBA,B,RG,2570,1,1,D,,Open
1826452,1826453,13:30:05,PTBA,B,RG,2570,15,15,D,,Open
1904375,1904376,13:37:07,PTBA,B,RG,2570,2,0,D,,Withdrawn
1967230,1967231,13:45:17,PTBA,B,RG,2570,2,2,D,,Open
1991198,1991199,13:48:40,PTBA,B,RG,2570,66,0,D,,Withdrawn
2155609,2155610,14:10:25,PTBA,B,RG,2570,2,2,D,,Open
2200752,2200753,14:15:54,PTBA,B,RG,2570,1,0,D,,Withdrawn
2264193,2264194,14:24:36,PTBA,B,RG,2570,1,1,D,,Open
2519110,2519111,14:57:04,PTBA,B,RG,2570,1,0,D,,Withdrawn
2529883,2529884,14:59:50,PTBA,B,RG,2570,745,0,F,,Withdrawn
1135,1136,8:45:00,PTBA,B,RG,2580,50,50,D,,Open
3423,3424,8:45:00,PTBA,B,RG,2580,1,1,D,,Open
11770,11771,8:45:00,PTBA,B,RG,2580,10,10,D,,Open
19667,19668,8:45:01,PTBA,B,RG,2580,2000,2000,D,,Open
20523,20524,8:45:01,PTBA,B,RG,2580,1,1,D,,Open
21213,21214,8:45:01,PTBA,B,RG,2580,1,1,D,,Open
22001,22002,8:45:01,PTBA,B,RG,2580,10,10,D,,Open
22639,22640,8:45:01,PTBA,B,RG,2580,50,50,D,,Open
24823,24824,8:45:01,PTBA,B,RG,2580,1,1,D,,Open
25088,25089,8:45:01,PTBA,B,RG,2580,10,10,D,,Open
27401,27402,8:45:01,PTBA,B,RG,2580,5,5,D,,Open
27592,27593,8:45:01,PTBA,B,RG,2580,1,1,D,,Open
27782,27783,8:45:01,PTBA,B,RG,2580,1,1,D,,Open
29759,29760,8:45:01,PTBA,B,RG,2580,1,1,D,,Open
29930,29931,8:45:01,PTBA,B,RG,2580,387,387,D,,Open
31942,31943,8:45:01,PTBA,B,RG,2580,5,5,D,,Open
33375,33376,8:45:02,PTBA,B,RG,2580,10,10,D,,Open
33529,33530,8:45:02,PTBA,B,RG,2580,1,1,D,,Open
34591,34592,8:45:02,PTBA,B,RG,2580,1,1,D,,Open
35139,35140,8:45:02,PTBA,B,RG,2580,19,19,D,,Open
38201,38202,8:45:02,PTBA,B,RG,2580,5,0,D,,Withdrawn
39499,39500,8:45:03,PTBA,B,RG,2580,2,2,D,,Open
40677,40678,8:45:03,PTBA,B,RG,2580,2,2,D,,Open
41070,41071,8:45:03,PTBA,B,RG,2580,128,128,D,,Open
41510,41511,8:45:03,PTBA,B,RG,2580,2,2,D,,Open
42284,42285,8:45:03,PTBA,B,RG,2580,4,4,D,,Open
44403,44404,8:45:03,PTBA,B,RG,2580,1,1,D,,Open
44838,44839,8:45:03,PTBA,B,RG,2580,500,500,D,,Open
45567,45568,8:45:04,PTBA,B,RG,2580,100,100,D,,Open
48087,48088,8:45:05,PTBA,B,RG,2580,500,500,D,,Open
49247,49248,8:45:05,PTBA,B,RG,2580,2,2,D,,Open
49336,49337,8:45:05,PTBA,B,RG,2580,1000,1000,D,,Open
52073,52074,8:45:06,PTBA,B,RG,2580,2,2,D,,Open
52860,52861,8:45:06,PTBA,B,RG,2580,6,6,D,,Open
53688,53689,8:45:06,PTBA,B,RG,2580,2,2,D,,Open
54482,54483,8:45:07,PTBA,B,RG,2580,10,10,D,,Open
55818,55819,8:45:07,PTBA,B,RG,2580,10,10,D,,Open
56157,56158,8:45:07,PTBA,B,RG,2580,100,100,D,,Open
57605,57606,8:45:09,PTBA,B,RG,2580,1,1,D,,Open
57667,57668,8:45:09,PTBA,B,RG,2580,16,16,D,,Open
58604,58605,8:45:09,PTBA,B,RG,2580,10,10,D,,Open
60519,60520,8:45:11,PTBA,B,RG,2580,3,3,D,,Open
62663,62664,8:45:14,PTBA,B,RG,2580,100,100,D,,Open
64161,64162,8:45:17,PTBA,B,RG,2580,2,2,D,,Open
65501,65502,8:45:19,PTBA,B,RG,2580,387,387,D,,Open
65771,65772,8:45:19,PTBA,B,RG,2580,50,50,D,,Open
66915,66916,8:45:21,PTBA,B,RG,2580,10,10,D,,Open
67555,67556,8:45:51,PTBA,B,RG,2580,3,3,D,,Open
68021,68022,8:46:01,PTBA,B,RG,2580,3,3,D,,Open
68244,68245,8:46:02,PTBA,B,RG,2580,180,180,D,,Open
70867,70868,8:49:27,PTBA,B,RG,2580,5,5,D,,Open
71360,71361,8:50:14,PTBA,B,RG,2580,10,0,D,,Withdrawn
73257,73258,8:52:54,PTBA,B,RG,2580,2,2,D,,Open
134322,134323,9:00:03,PTBA,B,RG,2580,13,13,D,,Open
230699,230700,9:00:10,PTBA,B,RG,2580,5,5,D,,Open
259891,259892,9:00:14,PTBA,B,RG,2580,236,236,D,,Open
259946,259947,9:00:14,PTBA,B,RG,2580,39,39,D,,Open
260063,260064,9:00:14,PTBA,B,RG,2580,24,24,D,,Open
260104,260105,9:00:14,PTBA,B,RG,2580,24,24,D,,Open
296795,296796,9:00:30,PTBA,B,RG,2580,30,30,D,,Open
303311,303312,9:00:37,PTBA,B,RG,2580,10,10,D,,Open
354207,354208,9:01:55,PTBA,B,RG,2580,58,58,D,,Open
450323,450324,9:05:50,PTBA,B,RG,2580,20,20,D,,Open
452155,452156,9:05:55,PTBA,B,RG,2580,3,3,D,,Open
499699,499700,9:07:59,PTBA,B,RG,2580,5,5,D,,Open
537483,537484,9:09:43,PTBA,B,RG,2580,1,1,D,,Open
537768,537769,9:09:43,PTBA,B,RG,2580,10,10,D,,Open
542088,542089,9:09:55,PTBA,B,RG,2580,10,10,D,,Open
582829,582830,9:11:49,PTBA,B,RG,2580,10,0,D,,Withdrawn
638280,638281,9:14:48,PTBA,B,RG,2580,1,1,D,,Open
716766,716767,9:19:18,PTBA,B,RG,2580,2000,2000,D,,Open
738861,738862,9:20:45,PTBA,B,RG,2580,6,6,D,,Open
759153,759154,9:22:09,PTBA,B,RG,2580,1,1,D,,Open
770058,770059,9:22:58,PTBA,B,RG,2580,50,50,D,,Open
808456,808457,9:25:40,PTBA,B,RG,2580,1,1,D,,Open
833161,833162,9:27:22,PTBA,B,RG,2580,3,3,D,,Open
834171,834172,9:27:26,PTBA,B,RG,2580,1,1,F,,Open
837784,837785,9:27:41,PTBA,B,RG,2580,200,200,D,,Open
860314,860315,9:29:10,PTBA,B,RG,2580,1,1,D,,Open
915042,915043,9:32:54,PTBA,B,RG,2580,1,1,D,,Open
934178,934179,9:34:16,PTBA,B,RG,2580,1,1,D,,Open
1070910,1070911,9:45:48,PTBA,B,RG,2580,100,100,D,,Open
1113800,1113801,9:49:56,PTBA,B,RG,2580,10,10,D,,Open
1160377,1160378,9:54:46,PTBA,B,RG,2580,15,15,D,,Open
1207269,1207270,9:59:54,PTBA,B,RG,2580,25,25,D,,Open
1242169,1242170,10:04:10,PTBA,B,RG,2580,5,5,D,,Open
1384063,1384064,10:22:07,PTBA,B,RG,2580,10,10,D,,Open
