Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
2776,2777,8:45:00,ICBP,B,RG,8200,20,20,D,,Open
4903,4904,8:45:00,ICBP,B,RG,8200,25,25,D,,Open
10715,10716,8:45:00,ICBP,B,RG,8200,1,1,D,,Open
14452,14453,8:45:00,ICBP,B,RG,8200,1,1,D,,Open
15636,15637,8:45:01,ICBP,B,RG,8200,15,15,D,,Open
17880,17881,8:45:01,ICBP,B,RG,8200,200,200,D,,Open
18995,18996,8:45:01,ICBP,B,RG,8200,3,3,D,,Open
22565,22566,8:45:01,ICBP,B,RG,8200,10,10,D,,Open
23081,23082,8:45:01,ICBP,B,RG,8200,2,2,D,,Open
23322,23323,8:45:01,ICBP,B,RG,8200,1,1,D,,Open
23327,23328,8:45:01,ICBP,B,RG,8200,1,1,D,,Open
25605,25606,8:45:01,ICBP,B,RG,8200,5,5,D,,Open
28107,28108,8:45:02,ICBP,B,RG,8200,1,1,D,,Open
32622,32623,8:45:02,ICBP,B,RG,8200,1,1,D,,Open
34040,34041,8:45:02,ICBP,B,RG,8200,1,1,D,,Open
34219,34220,8:45:03,ICBP,B,RG,8200,1,0,D,,Withdrawn
35826,35827,8:45:03,ICBP,B,RG,8200,2,2,D,,Open
45030,45031,8:45:04,ICBP,B,RG,8200,1,1,D,,Open
51394,51395,8:45:06,ICBP,B,RG,8200,7,7,D,,Open
51935,51936,8:45:06,ICBP,B,RG,8200,121,121,D,,Open
52141,52142,8:45:06,ICBP,B,RG,8200,5,5,D,,Open
52790,52791,8:45:06,ICBP,B,RG,8200,2,2,D,,Open
54487,54488,8:45:07,ICBP,B,RG,8200,1,1,D,,Open
56173,56174,8:45:08,ICBP,B,RG,8200,40,40,D,,Open
58073,58074,8:45:10,ICBP,B,RG,8200,1,1,D,,Open
58255,58256,8:45:10,ICBP,B,RG,8200,300,300,D,,Open
60356,60357,8:45:12,ICBP,B,RG,8200,7,7,D,,Open
60374,60375,8:45:12,ICBP,B,RG,8200,10,10,D,,Open
62073,62074,8:45:14,ICBP,B,RG,8200,40,0,D,,Withdrawn
62106,62107,8:45:14,ICBP,B,RG,8200,10,10,D,,Open
63932,63933,8:45:17,ICBP,B,RG,8200,10,10,D,,Open
69214,69215,8:47:45,ICBP,B,RG,8200,198,0,D,,Amended
70566,70567,8:49:43,ICBP,B,RG,8200,1,1,D,,Open
72597,72598,8:52:15,ICBP,B,RG,8200,2,2,D,,Open
435799,435800,9:06:03,ICBP,B,RG,8200,1,1,D,,Open
442454,442455,9:06:22,ICBP,B,RG,8200,10,10,D,,Open
461402,461403,9:07:16,ICBP,B,RG,8200,1,1,D,,Open
473045,473046,9:07:48,ICBP,B,RG,8200,2,2,D,,Open
494679,494680,9:08:48,ICBP,B,RG,8200,1,1,D,,Open
601500,601501,9:14:37,ICBP,B,RG,8200,5,5,D,,Open
624750,624751,9:16:05,ICBP,B,RG,8200,1,1,D,,Open
817651,817652,9:29:44,ICBP,B,RG,8200,1,1,D,,Open
823674,823675,9:30:11,ICBP,B,RG,8200,2,2,D,,Open
917218,917219,9:37:18,ICBP,B,RG,8200,10,10,D,,Open
926236,926237,9:38:00,ICBP,B,RG,8200,3,3,D,,Open
983128,983129,9:42:53,ICBP,B,RG,8200,1,1,D,,Open
1134024,1134025,9:57:33,ICBP,B,RG,8200,1,1,D,,Open
1182669,1182670,10:02:32,ICBP,B,RG,8200,1,1,D,,Open
1340819,1340820,10:20:32,ICBP,B,RG,8200,30,30,D,,Open
1517107,1517108,10:43:24,ICBP,B,RG,8200,1,1,D,,Open
1727069,1727070,11:17:25,ICBP,B,RG,8200,2,2,D,,Open
1876161,1876162,13:31:45,ICBP,B,RG,8200,1,1,D,,Open
2005227,2005228,13:48:05,ICBP,B,RG,8200,1,1,D,,Open
2225471,2225472,14:18:34,ICBP,B,RG,8200,25,25,D,,Open
2281628,2281629,14:26:41,ICBP,B,RG,8200,15,15,F,,Open
2315378,2315379,14:31:26,ICBP,B,RG,8200,1,1,D,,Open
2479900,2479901,14:50:40,ICBP,B,RG,8200,3,3,D,,Open
60362,60363,8:45:12,ICBP,B,RG,8225,5,5,D,,Open
60366,60367,8:45:12,ICBP,B,RG,8225,3,3,D,,Open
494814,494815,9:08:48,ICBP,B,RG,8225,1,1,D,,Open
1198421,1198422,10:04:13,ICBP,B,RG,8225,1,1,D,,Open
7184,7185,8:45:00,ICBP,B,RG,8250,1,1,D,,Open
15323,15324,8:45:01,ICBP,B,RG,8250,1,1,D,,Open
15764,15765,8:45:01,ICBP,B,RG,8250,2,2,D,,Open
20373,20374,8:45:01,ICBP,B,RG,8250,5,5,D,,Open
23448,23449,8:45:01,ICBP,B,RG,8250,5,5,D,,Open
31033,31034,8:45:02,ICBP,B,RG,8250,5,5,D,,Open
46527,46528,8:45:04,ICBP,B,RG,8250,20,20,D,,Open
47486,47487,8:45:05,ICBP,B,RG,8250,3,3,D,,Open
60361,60362,8:45:12,ICBP,B,RG,8250,7,7,D,,Open
60368,60369,8:45:12,ICBP,B,RG,8250,5,5,D,,Open
494717,494718,9:08:48,ICBP,B,RG,8250,1,1,D,,Open
509262,509263,9:09:32,ICBP,B,RG,8250,2,2,D,,Open
733451,733452,9:23:24,ICBP,B,RG,8250,1,1,D,,Open
18603,18604,8:45:01,ICBP,B,RG,8275,3,3,D,,Open
18979,18980,8:45:01,ICBP,B,RG,8275,3,3,D,,Open
34027,34028,8:45:02,ICBP,B,RG,8275,1,1,D,,Open
34035,34036,8:45:02,ICBP,B,RG,8275,1,1,D,,Open
45331,45332,8:45:04,ICBP,B,RG,8275,2,2,D,,Open
60350,60351,8:45:12,ICBP,B,RG,8275,5,5,D,,Open
60375,60376,8:45:12,ICBP,B,RG,8275,3,3,D,,Open
61946,61947,8:45:14,ICBP,B,RG,8275,5,5,D,,Open
461367,461368,9:07:16,ICBP,B,RG,8275,1,1,D,,Open
1200442,1200443,10:04:25,ICBP,B,RG,8275,1,1,D,,Open
7759,7760,8:45:00,ICBP,B,RG,8300,1,1,D,,Open
15821,15822,8:45:01,ICBP,B,RG,8300,50,50,D,,Open
23174,23175,8:45:01,ICBP,B,RG,8300,4,4,D,,Open
23301,23302,8:45:01,ICBP,B,RG,8300,1,1,D,,Open
25524,25525,8:45:01,ICBP,B,RG,8300,1,1,D,,Open
31397,31398,8:45:02,ICBP,B,RG,8300,3,3,D,,Open
39518,39519,8:45:03,ICBP,B,RG,8300,1,1,D,,Open
39603,39604,8:45:03,ICBP,B,RG,8300,30,0,D,,Withdrawn
41910,41911,8:45:03,ICBP,B,RG,8300,1,1,D,,Open
46743,46744,8:45:05,ICBP,B,RG,8300,3,3,D,,Open
49254,49255,8:45:05,ICBP,B,RG,8300,3,0,D,,Amended
56453,56454,8:45:08,ICBP,B,RG,8300,30,30,D,,Open
56639,56640,8:45:09,ICBP,B,RG,8300,15,15,D,,Open
60351,60352,8:45:12,ICBP,B,RG,8300,5,5,D,,Open
60378,60379,8:45:12,ICBP,B,RG,8300,3,3,D,,Open
61678,61679,8:45:14,ICBP,B,RG,8300,2,2,D,,Open
62627,62628,8:45:15,ICBP,B,RG,8300,100,100,D,,Open
63941,63942,8:45:17,ICBP,B,RG,8300,10,10,D,,Open
65700,65701,8:45:20,ICBP,B,RG,8300,1,0,D,,Withdrawn
437422,437423,9:06:08,ICBP,B,RG,8300,1,1,D,,Open
494752,494753,9:08:48,ICBP,B,RG,8300,1,1,D,,Open
623208,623209,9:15:59,ICBP,B,RG,8300,5,5,D,,Open
762959,762960,9:25:33,ICBP,B,RG,8300,1,1,D,,Open
1452052,1452053,10:34:11,ICBP,B,RG,8300,55,55,D,,Open
2280751,2280752,14:26:33,ICBP,B,RG,8300,15,15,F,,Open
2317037,2317038,14:31:40,ICBP,B,RG,8300,1,1,D,,Open
11182,11183,8:45:00,ICBP,B,RG,8325,1,1,D,,Open
20506,20507,8:45:01,ICBP,B,RG,8325,1,1,D,,Open
23389,23390,8:45:01,ICBP,B,RG,8325,2,2,D,,Open
60365,60366,8:45:12,ICBP,B,RG,8325,3,3,D,,Open
61944,61945,8:45:14,ICBP,B,RG,8325,4,4,D,,Open
62124,62125,8:45:14,ICBP,B,RG,8325,5,5,D,,Open
1202330,1202331,10:04:37,ICBP,B,RG,8325,1,1,D,,Open
2532180,2532181,14:59:54,ICBP,B,RG,8325,311,0,F,,Withdrawn
15428,15429,8:45:01,ICBP,B,RG,8350,1,1,D,,Open
18889,18890,8:45:01,ICBP,B,RG,8350,3,3,D,,Open
22618,22619,8:45:01,ICBP,B,RG,8350,1,1,D,,Open
34031,34032,8:45:02,ICBP,B,RG,8350,1,1,D,,Open
39334,39335,8:45:03,ICBP,B,RG,8350,5,5,D,,Open
43318,43319,8:45:04,ICBP,B,RG,8350,5,5,D,,Open
51079,51080,8:45:05,ICBP,B,RG,8350,10,10,D,,Open
60355,60356,8:45:12,ICBP,B,RG,8350,5,5,D,,Open
60363,60364,8:45:12,ICBP,B,RG,8350,3,3,D,,Open
65025,65026,8:45:19,ICBP,B,RG,8350,1,1,D,,Open
68183,68184,8:46:19,ICBP,B,RG,8350,175,175,D,,Open
68224,68225,8:46:22,ICBP,B,RG,8350,50,50,D,,Open
69123,69124,8:47:36,ICBP,B,RG,8350,200,200,D,,Open
461326,461327,9:07:16,ICBP,B,RG,8350,1,1,D,,Open
751309,751310,9:24:41,ICBP,B,RG,8350,1,1,D,,Open
816358,816359,9:29:38,ICBP,B,RG,8350,1,1,D,,Open
30380,30381,8:45:02,ICBP,B,RG,8375,12,12,D,,Open
60348,60349,8:45:12,ICBP,B,RG,8375,5,5,D,,Open
354817,354818,9:02:34,ICBP,B,RG,8375,1,1,D,,Open
1204330,1204331,10:04:50,ICBP,B,RG,8375,1,1,D,,Open
2669,2670,8:45:00,ICBP,B,RG,8400,30,30,D,,Open
9231,9232,8:45:00,ICBP,B,RG,8400,1,1,D,,Open
21336,21337,8:45:01,ICBP,B,RG,8400,15,0,D,,Withdrawn
23091,23092,8:45:01,ICBP,B,RG,8400,1,1,D,,Open
23266,23267,8:45:01,ICBP,B,RG,8400,1,1,D,,Open
23330,23331,8:45:01,ICBP,B,RG,8400,1,1,D,,Open
26442,26443,8:45:01,ICBP,B,RG,8400,1,1,D,,Open
26795,26796,8:45:01,ICBP,B,RG,8400,1,1,D,,Open
29086,29087,8:45:02,ICBP,B,RG,8400,4,4,D,,Open
30358,30359,8:45:02,ICBP,B,RG,8400,500,500,D,,Open
38639,38640,8:45:03,ICBP,B,RG,8400,2,2,D,,Open
42806,42807,8:45:04,ICBP,B,RG,8400,1,1,D,,Open
47175,47176,8:45:05,ICBP,B,RG,8400,20,20,D,,Open
53507,53508,8:45:07,ICBP,B,RG,8400,7,7,D,,Open
53866,53867,8:45:07,ICBP,B,RG,8400,1,1,D,,Open
56361,56362,8:45:08,ICBP,B,RG,8400,20,20,D,,Open
56448,56449,8:45:08,ICBP,B,RG,8400,30,30,D,,Open
58678,58679,8:45:10,ICBP,B,RG,8400,1,1,D,,Open
60346,60347,8:45:12,ICBP,B,RG,8400,3,3,D,,Open
60385,60386,8:45:12,ICBP,B,RG,8400,2,2,D,,Open
63945,63946,8:45:17,ICBP,B,RG,8400,10,10,D,,Open
74501,74502,8:54:32,ICBP,B,RG,8400,6,6,D,,Open
435887,435888,9:06:04,ICBP,B,RG,8400,10,10,D,,Open
543894,543895,9:11:19,ICBP,B,RG,8400,20,20,D,,Open
616701,616702,9:15:34,ICBP,B,RG,8400,5,5,D,,Open
769324,769325,9:26:00,ICBP,B,RG,8400,25,25,D,,Open
787983,787984,9:27:21,ICBP,B,RG,8400,2,2,D,,Open
1621657,1621658,11:00:04,ICBP,B,RG,8400,7,0,D,,Amended
24098,24099,8:45:01,ICBP,B,RG,8425,1,1,D,,Open
26887,26888,8:45:01,ICBP,B,RG,8425,1,1,D,,Open
52230,52231,8:45:06,ICBP,B,RG,8425,5,5,D,,Open
60349,60350,8:45:12,ICBP,B,RG,8425,3,3,D,,Open
74418,74419,8:54:26,ICBP,B,RG,8425,5,5,D,,Open
461284,461285,9:07:16,ICBP,B,RG,8425,1,1,D,,Open
1206621,1206622,10:05:02,ICBP,B,RG,8425,1,1,D,,Open
2532116,2532117,14:59:54,ICBP,B,RG,8425,297,0,F,,Withdrawn
8591,8592,8:45:00,ICBP,B,RG,8450,1,1,D,,Open
13821,13822,8:45:00,ICBP,B,RG,8450,1,1,D,,Open
15342,15343,8:45:01,ICBP,B,RG,8450,1,1,D,,Open
23275,23276,8:45:01,ICBP,B,RG,8450,1,1,D,,Open
31234,31235,8:45:02,ICBP,B,RG,8450,3,3,D,,Open
48881,48882,8:45:05,ICBP,B,RG,8450,100,100,D,,Open
60354,60355,8:45:12,ICBP,B,RG,8450,2,2,D,,Open
62139,62140,8:45:15,ICBP,B,RG,8450,1,1,D,,Open
65026,65027,8:45:19,ICBP,B,RG,8450,1,1,D,,Open
74318,74319,8:54:20,ICBP,B,RG,8450,4,4,D,,Open
2077325,2077326,13:57:17,ICBP,B,RG,8450,7,7,D,,Open
18822,18823,8:45:01,ICBP,B,RG,8475,1,1,D,,Open
25413,25414,8:45:01,ICBP,B,RG,8475,2,2,D,,Open
52386,52387,8:45:06,ICBP,B,RG,8475,2,2,D,,Open
56451,56452,8:45:08,ICBP,B,RG,8475,25,25,D,,Open
57153,57154,8:45:09,ICBP,B,RG,8475,1,1,D,,Open
60344,60345,8:45:12,ICBP,B,RG,8475,2,2,D,,Open
74236,74237,8:54:14,ICBP,B,RG,8475,3,3,D,,Open
1208457,1208458,10:05:14,ICBP,B,RG,8475,1,1,D,,Open
2431014,2431015,14:46:04,ICBP,B,RG,8475,20,20,D,,Open
4459,4460,8:45:00,ICBP,B,RG,8500,100,100,D,,Open
4610,4611,8:45:00,ICBP,B,RG,8500,1,1,D,,Open
12352,12353,8:45:00,ICBP,B,RG,8500,30,0,D,,Withdrawn
13126,13127,8:45:00,ICBP,B,RG,8500,33,33,D,,Open
14261,14262,8:45:00,ICBP,B,RG,8500,10,10,D,,Open
15576,15577,8:45:01,ICBP,B,RG,8500,10,10,D,,Open
16619,16620,8:45:01,ICBP,B,RG,8500,1,1,D,,Open
18200,18201,8:45:01,ICBP,B,RG,8500,1,1,D,,Open
22148,22149,8:45:01,ICBP,B,RG,8500,2,2,D,,Open
23197,23198,8:45:01,ICBP,B,RG,8500,200,200,D,,Open
25542,25543,8:45:01,ICBP,B,RG,8500,1,1,D,,Open
28937,28938,8:45:02,ICBP,B,RG,8500,1,0,D,,Withdrawn
29083,29084,8:45:02,ICBP,B,RG,8500,2,2,D,,Open
33827,33828,8:45:02,ICBP,B,RG,8500,6,6,D,,Open
34014,34015,8:45:02,ICBP,B,RG,8500,1,1,D,,Open
34951,34952,8:45:03,ICBP,B,RG,8500,2,2,D,,Open
43699,43700,8:45:04,ICBP,B,RG,8500,1,1,D,,Open
44347,44348,8:45:04,ICBP,B,RG,8500,1,1,D,,Open
47358,47359,8:45:05,ICBP,B,RG,8500,1,1,D,,Open
48449,48450,8:45:05,ICBP,B,RG,8500,5,5,D,,Open
48925,48926,8:45:05,ICBP,B,RG,8500,25,25,D,,Open
49295,49296,8:45:05,ICBP,B,RG,8500,4,0,D,,Withdrawn
50270,50271,8:45:05,ICBP,B,RG,8500,2,2,D,,Open
52711,52712,8:45:06,ICBP,B,RG,8500,6,6,D,,Open
52749,52750,8:45:06,ICBP,B,RG,8500,1,1,D,,Open
60340,60341,8:45:12,ICBP,B,RG,8500,3,3,D,,Open
60964,60965,8:45:13,ICBP,B,RG,8500,1,1,D,,Open
62048,62049,8:45:14,ICBP,B,RG,8500,1,1,D,,Open
62616,62617,8:45:15,ICBP,B,RG,8500,100,100,D,,Open
65693,65694,8:45:20,ICBP,B,RG,8500,1,0,D,,Withdrawn
66721,66722,8:45:22,ICBP,B,RG,8500,1,1,D,,Open
67786,67787,8:46:01,ICBP,B,RG,8500,55,55,D,,Open
69180,69181,8:47:41,ICBP,B,RG,8500,3,3,D,,Open
72096,72097,8:51:38,ICBP,B,RG,8500,1,1,D,,Open
74021,74022,8:54:03,ICBP,B,RG,8500,3,3,D,,Open
139689,139690,9:00:04,ICBP,B,RG,8500,100,100,D,,Open
222234,222235,9:00:10,ICBP,B,RG,8500,5,5,D,,Open
469497,469498,9:07:39,ICBP,B,RG,8500,50,50,D,,Open
472661,472662,9:07:47,ICBP,B,RG,8500,1,1,D,,Open
735405,735406,9:23:32,ICBP,B,RG,8500,1,1,D,,Open
925582,925583,9:37:58,ICBP,B,RG,8500,1,1,D,,Open
1155529,1155530,9:59:53,ICBP,B,RG,8500,15,15,D,,Open
1206727,1206728,10:05:03,ICBP,B,RG,8500,10,10,D,,Open
1412318,1412319,10:29:03,ICBP,B,RG,8500,1,1,D,,Open
1428902,1428903,10:31:07,ICBP,B,RG,8500,20,20,D,,Open
1724320,1724321,11:16:54,ICBP,B,RG,8500,10,0,D,,Withdrawn
1727747,1727748,11:17:33,ICBP,B,RG,8500,1,1,D,,Open
2314715,2314716,14:31:20,ICBP,B,RG,8500,1,1,D,,Open
2531978,2531979,14:59:53,ICBP,B,RG,8500,290,0,F,,Withdrawn
4018,4019,8:45:00,ICBP,B,RG,8525,150,150,D,,Open
15569,15570,8:45:01,ICBP,B,RG,8525,10,10,D,,Open
18881,18882,8:45:01,ICBP,B,RG,8525,3,3,D,,Open
20081,20082,8:45:01,ICBP,B,RG,8525,1,1,D,,Open
23032,23033,8:45:01,ICBP,B,RG,8525,11,11,D,,Open
27887,27888,8:45:02,ICBP,B,RG,8525,2,2,D,,Open
28523,28524,8:45:02,ICBP,B,RG,8525,1,1,D,,Open
41632,41633,8:45:03,ICBP,B,RG,8525,13,13,D,,Open
44062,44063,8:45:04,ICBP,B,RG,8525,1,1,D,,Open
44374,44375,8:45:04,ICBP,B,RG,8525,29,29,D,,Open
56387,56388,8:45:08,ICBP,B,RG,8525,2,2,D,,Open
60341,60342,8:45:12,ICBP,B,RG,8525,2,2,D,,Open
72099,72100,8:51:38,ICBP,B,RG,8525,1,1,D,,Open
73945,73946,8:53:57,ICBP,B,RG,8525,2,2,D,,Open
461241,461242,9:07:16,ICBP,B,RG,8525,1,1,D,,Open
949633,949634,9:39:54,ICBP,B,RG,8525,1000,1000,D,,Open
1210637,1210638,10:05:27,ICBP,B,RG,8525,1,1,D,,Open
4440,4441,8:45:00,ICBP,B,RG,8550,100,100,D,,Open
4988,4989,8:45:00,ICBP,B,RG,8550,13,13,D,,Open
5946,5947,8:45:00,ICBP,B,RG,8550,1,1,D,,Open
22185,22186,8:45:01,ICBP,B,RG,8550,200,200,D,,Open
23101,23102,8:45:01,ICBP,B,RG,8550,1,1,D,,Open
23258,23259,8:45:01,ICBP,B,RG,8550,1,1,D,,Open
23641,23642,8:45:01,ICBP,B,RG,8550,2,2,D,,Open
31230,31231,8:45:02,ICBP,B,RG,8550,3,3,D,,Open
32766,32767,8:45:02,ICBP,B,RG,8550,1,1,D,,Open
36205,36206,8:45:03,ICBP,B,RG,8550,1,1,D,,Open
36533,36534,8:45:03,ICBP,B,RG,8550,50,50,D,,Open
42097,42098,8:45:03,ICBP,B,RG,8550,10,10,D,,Open
42631,42632,8:45:03,ICBP,B,RG,8550,1,1,D,,Open
49491,49492,8:45:05,ICBP,B,RG,8550,25,25,D,,Open
56172,56173,8:45:08,ICBP,B,RG,8550,20,20,D,,Open
56384,56385,8:45:08,ICBP,B,RG,8550,2,2,D,,Open
60343,60344,8:45:12,ICBP,B,RG,8550,3,3,D,,Open
60943,60944,8:45:13,ICBP,B,RG,8550,70,70,D,,Open
62150,62151,8:45:15,ICBP,B,RG,8550,1,1,D,,Open
72098,72099,8:51:38,ICBP,B,RG,8550,1,1,D,,Open
73841,73842,8:53:50,ICBP,B,RG,8550,2,2,D,,Open
499445,499446,9:09:03,ICBP,B,RG,8550,1,1,D,,Open
1043409,1043410,9:48:40,ICBP,B,RG,8550,2,2,D,,Open
2531800,2531801,14:59:51,ICBP,B,RG,8550,225,0,F,,Withdrawn
3502,3503,8:45:00,ICBP,B,RG,8575,7,0,D,,Amended
18597,18598,8:45:01,ICBP,B,RG,8575,1,1,D,,Open
18792,18793,8:45:01,ICBP,B,RG,8575,1,1,D,,Open
58492,58493,8:45:10,ICBP,B,RG,8575,1,1,D,,Open
60342,60343,8:45:12,ICBP,B,RG,8575,2,2,D,,Open
66684,66685,8:45:22,ICBP,B,RG,8575,1,1,D,,Open
72097,72098,8:51:38,ICBP,B,RG,8575,1,1,D,,Open
73758,73759,8:53:42,ICBP,B,RG,8575,1,1,D,,Open
435358,435359,9:06:02,ICBP,B,RG,8575,25,0,D,,Amended
451502,451503,9:06:48,ICBP,B,RG,8575,1,1,D,,Open
913907,913908,9:37:03,ICBP,B,RG,8575,1,1,D,,Open
950361,950362,9:39:58,ICBP,B,RG,8575,1000,1000,D,,Open
1625291,1625292,11:00:39,ICBP,B,RG,8575,3,3,D,,Open
2802,2803,8:45:00,ICBP,B,RG,8600,50,50,D,,Open
3131,3132,8:45:00,ICBP,B,RG,8600,10,10,D,,Open
4045,4046,8:45:00,ICBP,B,RG,8600,150,150,D,,Open
4178,4179,8:45:00,ICBP,B,RG,8600,5,5,D,,Open
4417,4418,8:45:00,ICBP,B,RG,8600,100,100,D,,Open
4823,4824,8:45:00,ICBP,B,RG,8600,5,5,D,,Open
4890,4891,8:45:00,ICBP,B,RG,8600,1,1,D,,Open
9866,9867,8:45:00,ICBP,B,RG,8600,22,0,D,,Withdrawn
10471,10472,8:45:00,ICBP,B,RG,8600,10,10,D,,Open
14290,14291,8:45:00,ICBP,B,RG,8600,1,1,D,,Open
14754,14755,8:45:00,ICBP,B,RG,8600,13,13,D,,Open
14955,14956,8:45:01,ICBP,B,RG,8600,3,3,D,,Open
16305,16306,8:45:01,ICBP,B,RG,8600,2,2,D,,Open
20287,20288,8:45:01,ICBP,B,RG,8600,580,580,D,,Open
21019,21020,8:45:01,ICBP,B,RG,8600,5,5,D,,Open
22114,22115,8:45:01,ICBP,B,RG,8600,10,10,D,,Open
23346,23347,8:45:01,ICBP,B,RG,8600,20,20,D,,Open
25940,25941,8:45:01,ICBP,B,RG,8600,1,1,D,,Open
27772,27773,8:45:01,ICBP,B,RG,8600,5,5,D,,Open
28447,28448,8:45:02,ICBP,B,RG,8600,40,40,D,,Open
29081,29082,8:45:02,ICBP,B,RG,8600,1,1,D,,Open
30287,30288,8:45:02,ICBP,B,RG,8600,25,25,D,,Open
31002,31003,8:45:02,ICBP,B,RG,8600,20,20,D,,Open
31957,31958,8:45:02,ICBP,B,RG,8600,5,5,D,,Open
33786,33787,8:45:02,ICBP,B,RG,8600,10,10,D,,Open
37047,37048,8:45:03,ICBP,B,RG,8600,5,5,D,,Open
38291,38292,8:45:03,ICBP,B,RG,8600,7,7,D,,Open
38436,38437,8:45:03,ICBP,B,RG,8600,1,1,D,,Open
39736,39737,8:45:03,ICBP,B,RG,8600,200,200,D,,Open
40002,40003,8:45:03,ICBP,B,RG,8600,1,1,D,,Open
40747,40748,8:45:03,ICBP,B,RG,8600,7,7,D,,Open
41515,41516,8:45:03,ICBP,B,RG,8600,50,50,D,,Open
41538,41539,8:45:03,ICBP,B,RG,8600,12,12,D,,Open
41962,41963,8:45:03,ICBP,B,RG,8600,1,0,D,,Amended
41974,41975,8:45:03,ICBP,B,RG,8600,1,1,D,,Open
42572,42573,8:45:03,ICBP,B,RG,8600,5,5,D,,Open
44212,44213,8:45:04,ICBP,B,RG,8600,200,200,D,,Open
45821,45822,8:45:04,ICBP,B,RG,8600,1,1,D,,Open
46995,46996,8:45:05,ICBP,B,RG,8600,5,5,D,,Open
47830,47831,8:45:05,ICBP,B,RG,8600,3,3,D,,Open
48905,48906,8:45:05,ICBP,B,RG,8600,1,1,D,,Open
52329,52330,8:45:06,ICBP,B,RG,8600,5,5,D,,Open
52813,52814,8:45:06,ICBP,B,RG,8600,4,4,D,,Open
53633,53634,8:45:07,ICBP,B,RG,8600,1,1,D,,Open
53968,53969,8:45:07,ICBP,B,RG,8600,100,100,D,,Open
54105,54106,8:45:07,ICBP,B,RG,8600,1,1,D,,Open
54675,54676,8:45:07,ICBP,B,RG,8600,5,5,D,,Open
56934,56935,8:45:09,ICBP,B,RG,8600,1,1,D,,Open
57355,57356,8:45:09,ICBP,B,RG,8600,1,1,D,,Open
57630,57631,8:45:09,ICBP,B,RG,8600,20,20,D,,Open
58591,58592,8:45:10,ICBP,B,RG,8600,25,25,D,,Open
59993,59994,8:45:12,ICBP,B,RG,8600,5,5,D,,Open
60352,60353,8:45:12,ICBP,B,RG,8600,2,2,D,,Open
63077,63078,8:45:16,ICBP,B,RG,8600,1,1,D,,Open
64261,64262,8:45:18,ICBP,B,RG,8600,10,10,D,,Open
66478,66479,8:45:22,ICBP,B,RG,8600,1,1,D,,Open
70008,70009,8:48:57,ICBP,B,RG,8600,12,0,D,,Amended
70329,70330,8:49:22,ICBP,B,RG,8600,300,300,D,,Open
71377,71378,8:50:46,ICBP,B,RG,8600,5,5,D,,Open
71526,71527,8:50:57,ICBP,B,RG,8600,20,20,D,,Open
72095,72096,8:51:38,ICBP,B,RG,8600,1,1,D,,Open
73663,73664,8:53:35,ICBP,B,RG,8600,1,1,D,,Open
87020,87021,9:00:00,ICBP,B,RG,8600,116,116,D,,Open
113669,113670,9:00:02,ICBP,B,RG,8600,1,1,D,,Open
138362,138363,9:00:04,ICBP,B,RG,8600,1,1,D,,Open
191553,191554,9:00:07,ICBP,B,RG,8600,2,2,D,,Open
200364,200365,9:00:08,ICBP,B,RG,8600,15,15,D,,Open
204670,204671,9:00:08,ICBP,B,RG,8600,5,5,D,,Open
246132,246133,9:00:14,ICBP,B,RG,8600,15,15,D,,Open
372692,372693,9:03:22,ICBP,B,RG,8600,1,1,D,,Open
415620,415621,9:05:08,ICBP,B,RG,8600,5,0,D,,Amended
435837,435838,9:06:04,ICBP,B,RG,8600,10,10,D,,Open
442851,442852,9:06:23,ICBP,B,RG,8600,1,1,D,,Open
446111,446112,9:06:32,ICBP,B,RG,8600,30,30,D,,Open
462411,462412,9:07:19,ICBP,B,RG,8600,10,10,D,,Open
463266,463267,9:07:21,ICBP,B,RG,8600,2,2,D,,Open
499902,499903,9:09:04,ICBP,B,RG,8600,1,1,D,,Open
525927,525928,9:10:21,ICBP,B,RG,8600,2,2,D,,Open
571426,571427,9:12:52,ICBP,B,RG,8600,5,5,D,,Open
574057,574058,9:13:01,ICBP,B,RG,8600,1,0,D,,Withdrawn
586128,586129,9:13:43,ICBP,B,RG,8600,6,0,D,,Withdrawn
593978,593979,9:14:10,ICBP,B,RG,8600,3,3,D,,Open
613798,613799,9:15:23,ICBP,B,RG,8600,2,2,D,,Open
653567,653568,9:17:54,ICBP,B,RG,8600,3,3,D,,Open
712074,712075,9:21:55,ICBP,B,RG,8600,1,1,D,,Open
723819,723820,9:22:45,ICBP,B,RG,8600,5,0,D,,Amended
771578,771579,9:26:09,ICBP,B,RG,8600,2,2,D,,Open
840978,840979,9:31:27,ICBP,B,RG,8600,1,1,D,,Open
1059052,1059053,9:50:10,ICBP,B,RG,8600,1,1,D,,Open
1065214,1065215,9:50:46,ICBP,B,RG,8600,2,2,D,,Open
1153057,1153058,9:59:38,ICBP,B,RG,8600,1,1,D,,Open
1296088,1296089,10:15:04,ICBP,B,RG,8600,5,5,D,,Open
1526608,1526609,10:44:48,ICBP,B,RG,8600,1,0,D,,Withdrawn
1668651,1668652,11:07:40,ICBP,B,RG,8600,1,1,D,,Open
1668834,1668835,11:07:43,ICBP,B,RG,8600,3,3,D,,Open
1676885,1676886,11:08:59,ICBP,B,RG,8600,2,2,D,,Open
