Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total
28-Sep-2018,AALI,EQUITY,1924688333,12175,48767185,2734624,57360399,49700,48063440,68317407,314196,1681386,4907427,232195764,1599554,5750667,20436322,22707372,1667406,61691364,30245478,386922,14108644,158593729
28-Sep-2018,ABBA,EQUITY,2755125000,186,31342900,1602604165,0,0,656498075,0,171043,0,0,2290616183,0,0,0,288143600,901000,0,113800,0,0,289158400
28-Sep-2018,ABDA,EQUITY,620806680,7000,21885,47363182,0,98,47932598,0,8100,877884,0,96203747,0,426160055,0,97400000,400,0,0,0,62,523560517
28-Sep-2018,ABMM,EQUITY,2753165000,2000,11370000,6961500,1600,0,35571626,6268200,4993774,0,0,65166700,0,56116500,0,35250400,651500,296268000,4500,0,152238400,540529300
28-Sep-2018,ACES,EQUITY,17150000000,1435,323519627,117503700,25950088,0,140801711,330912081,9052,1370000,284900,940351159,29431500,333129730,360211120,545244223,294100,3310855201,377413661,11056415,957012891,5924648841
28-Sep-2018,ACST,EQUITY,700000000,1865,252560,477826540,4674440,0,28327896,22147860,290584,350000,0,533869880,0,12421600,6937800,22332280,12337340,33210660,3634180,7838400,67417860,166130120
28-Sep-2018,ADES,EQUITY,589896800,925,108000,117000,220000,350,31575577,942100,411,25000,0,32988438,0,540301713,0,14703821,630400,0,250000,0,0,555885934
28-Sep-2018,ADFO,EQUITY,745543638,0,10000,115720120,0,0,58102000,0,2013000,0,0,175845120,0,147319420,0,46500,144476570,0,0,0,243009528,534852018
28-Sep-2018,ADHI,EQUITY,3560849376,1390,212023375,15955758,96284153,5000,464533715,396002876,9308492,18151471,62300,1212327140,1327732,32561639,42638460,26240489,2514321,288145060,53834621,0,85203290,532465612
28-Sep-2018,ADMF,EQUITY,1000000000,8225,4366800,478400,0,920700000,23237100,21127500,41500,0,0,969951300,0,163100,49500,13665800,391800,11518000,265400,13500,3931600,29998700
28-Sep-2018,ADMG,EQUITY,3889179559,328,500000,994896000,2993000,0,378126787,3321083,5885413,0,0,1385722283,0,4772300,2482282,32590218,1351000,54938600,25124600,0,7513500,128772500
28-Sep-2018,ADRO,EQUITY,31985962000,1825,1224698400,15563766443,934782400,0,5911581744,997193229,38302787,31771300,2138300,24704234603,106083704,884245658,923718383,917901931,14413542,1981740104,490497242,57127000,1905999833,7281727397
28-Sep-2018,AGII,EQUITY,3066660000,655,11500000,786283817,23409100,0,114670800,2594600,1500000,0,0,939958317,0,81256000,0,175992500,129400,82293100,178272400,74617300,21276800,613837500
28-Sep-2018,AGRO,EQUITY,21343290230,356,423675800,8353166,1240121746,18530846185,727161055,84562998,18815448,103537484,2312000,21139385882,0,223234,0,551436,5669512,0,2955040,0,2465853,11865075
28-Sep-2018,AGRS,EQUITY,5256176644,250,0,4294064846,0,0,246179232,1587900,0,0,0,4541831978,0,593993000,0,0,2056400,0,10000,0,65723500,661782900
28-Sep-2018,AHAP,EQUITY,2940000000,70,1827142432,50488766,0,0,505313464,980000,44069,0,0,2383968731,147816500,126000,0,0,403640015,0,107841,0,55,551690411
28-Sep-2018,AIMS,EQUITY,220000000,170,0,184461690,0,0,35367710,0,18100,0,0,219847500,0,0,0,0,2000,0,500,0,0,2500
28-Sep-2018,AISA,EQUITY,3218600000,168,772100,217538886,9729500,0,1188528689,21822300,935982,590000,9154615,1449072072,250000,913939985,10058500,147078705,22218600,364295622,78891400,0,232167116,1768899928
28-Sep-2018,AKKU,EQUITY,6449463636,50,0,5707895000,0,0,446928936,0,73199300,0,0,6228023236,0,196089300,0,0,308800,0,2042300,0,23000000,221440400
28-Sep-2018,AKPI,EQUITY,680000000,880,4000,213183673,0,2,28569271,17500,2122,0,0,241776568,0,0,34,1,503,0,117500,0,10300,128338
28-Sep-2018,AKRA,EQUITY,4014694920,3640,52258500,429456000,14949300,0,205187035,128268310,3222286,1858900,18300,835218631,2068100,81934865,116079135,94362139,1096800,704942066,54341035,53500,182272829,1237150469
28-Sep-2018,AKSI,EQUITY,720000000,630,0,25249700,0,0,1049700,0,0,0,0,26299400,0,0,0,0,100,0,10000,0,0,10100
28-Sep-2018,ALDI,EQUITY,398260000,0,0,105000,0,0,170555500,0,2746000,0,0,173406500,0,80000,0,100000,105000,0,43500,0,0,328500
28-Sep-2018,ALDO,EQUITY,550000000,685,0,321230769,0,0,228769231,0,0,0,0,550000000,0,0,0,0,0,0,0,0,0,0
28-Sep-2018,ALKA,EQUITY,507665055,320,0,11021250,0,77500,24111405,0,46200,0,0,35256355,0,0,0,260000,2557223,0,33000,0,0,2850223
28-Sep-2018,ALMI,EQUITY,616000000,320,0,96725740,0,0,80615000,0,536000,0,0,177876740,0,0,0,70000,1088200,0,457800,0,0,1616000
28-Sep-2018,ALTO,EQUITY,2191870558,400,0,1417284623,0,0,443648324,1000000,321042911,0,0,2182975858,0,0,0,7560000,36000,0,1047200,0,0,8643200
28-Sep-2018,AMAG,EQUITY,5001552516,360,0,48000,185066933,388000000,46059796,0,0,0,0,619174729,0,30366700,0,36122000,10833700,41048400,61569600,0,12894300,192834700
28-Sep-2018,AMFG,EQUITY,434000000,4600,0,10323982,94500,0,15663600,1531700,73776,3800,0,27691358,1217100,18740400,285600,8385900,10876200,16047700,1151659,0,368083,57072642
28-Sep-2018,AMIN,EQUITY,1080000000,328,0,20688800,0,0,102795400,0,26333400,0,0,149817600,0,17438300,0,0,70624400,0,339700,0,1780000,90182400
28-Sep-2018,AMRT,EQUITY,41524501700,820,116853600,23691187010,40747100,0,2883467735,41379800,150397,0,0,26773785642,0,4722678915,224968500,2389071838,57200,2226736500,2130414141,970500,3055818464,14750716058
28-Sep-2018,ANDI,EQUITY,1870000000,1645,0,1633500,0,0,323036000,153747300,21276000,0,50000,499742800,0,0,0,202200,35000,0,0,0,20000,257200
28-Sep-2018,ANJT,EQUITY,3354175000,1305,161139700,95916411,0,0,79905852,100,0,0,0,336962063,5692200,0,187300,809500,6999937,0,1387000,0,2137000,17212937
28-Sep-2018,ANTM,EQUITY,24030764725,835,1921924713,36212519,829764081,0,2208117403,1587963704,74793442,31008775,1381200,6691165837,5803818,134213863,84905818,383898356,16594902,526257958,292094280,490500,228170223,1672429718
28-Sep-2018,APEX,EQUITY,2659850000,1780,0,1937835764,0,0,53462820,0,30339980,0,0,2021638564,0,352970027,0,91411754,23845467,0,89187,0,92181329,560497764
28-Sep-2018,APIC,EQUITY,11765963114,500,832553200,8849912712,7500000,0,69128785,1606154575,11591,0,0,11365260863,0,1,0,400702000,250,0,0,0,0,400702251
28-Sep-2018,APII,EQUITY,1075760000,172,0,0,0,0,38381300,0,100,0,0,38381400,0,0,0,798600,54370700,0,34802300,0,146221000,236192600
28-Sep-2018,APLI,EQUITY,1500000000,87,0,202544300,0,0,557691700,0,165000,0,0,760401000,0,0,0,0,227000,0,1942400,0,0,2169400
28-Sep-2018,APLN,EQUITY,19364561700,147,903626000,5236120900,37913400,0,1473927867,92341700,303673519,6676600,11910400,8066190386,1704300,25203760,30933500,395611538,11593100,298392041,165383300,1933700,67616075,998371314
28-Sep-2018,APOL,EQUITY,8670479000,58,0,644379260,1400000,0,748152000,1955000,1195300,512500,0,1397594060,0,294110500,0,294181500,8296200,0,13251500,0,71420000,681259700
28-Sep-2018,ARGO,EQUITY,335557450,825,0,34195914,0,0,438150,0,83500,0,0,34717564,0,280,0,112500,11250,0,91500,0,5720,221250
28-Sep-2018,ARII,EQUITY,3000000000,1000,168777700,1098690200,150000,0,499630700,132902200,0,0,0,1900150800,0,312864100,0,274785400,13682200,0,1511000,0,9645500,612488200
28-Sep-2018,ARMY,EQUITY,8187500000,300,670561900,1267868600,0,0,1842567400,930348300,52857500,200000,0,4764403700,0,454612300,0,1383800,12499800,0,100400,0,0,468596300
28-Sep-2018,ARNA,EQUITY,7341430976,356,35025368,1041962020,8693123,0,3273190861,162227758,1014041,0,0,4522113171,5000000,346270400,194812900,336354484,61006128,1074985110,33845482,137770000,629273301,2819317805
28-Sep-2018,ARTA,EQUITY,446674175,220,0,34863500,0,0,402113925,0,0,0,0,436977425,0,2400000,0,250,500100,0,6796400,0,0,9696750
28-Sep-2018,ARTI,EQUITY,7840000000,50,195503974,2810941286,739500000,0,3462377900,547370900,27949040,0,0,7783643100,0,110700,0,0,22072200,0,12130000,0,20669000,54981900
28-Sep-2018,ARTO,EQUITY,1206250000,160,0,50505200,0,0,189485400,0,1259400,0,0,241250000,0,0,0,0,0,0,0,0,0,0
28-Sep-2018,ASBI,EQUITY,348386472,330,21492,308469272,922,1106,19966890,0,52656,0,0,328512338,0,0,0,6088400,530170,0,1248828,0,0,7867398
28-Sep-2018,ASDM,EQUITY,192000000,1000,0,31252100,0,13200,17273160,2000000,0,0,0,50538460,0,11300,0,1618000,605600,0,454800,0,0,2689700
28-Sep-2018,ASGR,EQUITY,1348780500,1510,2500,45960,0,178000,101210478,4958200,128301,500,0,106523939,0,13221100,9324000,44830153,717000,45975900,8817300,3453500,64422918,190761871
28-Sep-2018,ASIA,EQUITY,2275009490,0,250000,16706929,0,0,1022235638,0,3285780,0,22006500,1064484847,0,334,0,1720002,14101173,0,24374673,0,1153364413,1193560595
28-Sep-2018,ASII,EQUITY,40483553140,7375,1434412391,13253514,1496759170,555650,571413479,1258070094,3780589,36387300,24028530,4838660717,216753588,549866147,2090551996,1373629376,27235360,5194648614,617007911,37955700,3307712351,13415361043
28-Sep-2018,ASJT,EQUITY,600000000,330,17820000,9800,464365700,0,14041500,94159100,4110000,0,5102900,599609000,0,0,0,0,100,0,390900,0,0,391000
28-Sep-2018,ASMI,EQUITY,8958380460,720,614285800,3295661990,2920000,0,4886464870,84251500,0,0,41874000,8925458160,0,339200,0,7005400,21234100,1951800,1198200,0,1193600,32922300
28-Sep-2018,ASRI,EQUITY,19649411888,286,38768100,9188276009,72880200,0,1827802742,275402355,2071721415,15729100,0,13490579921,9162300,161897842,318157320,487802765,37278800,672853262,402679732,11720000,1074829946,3176381967
28-Sep-2018,ASRM,EQUITY,214559422,2350,10728,848655,1027742,0,6799437,0,5648,96,0,8692306,0,8400,0,20148,12800,0,342306,0,1453518,1837172
28-Sep-2018,ASSA,EQUITY,3397500000,266,43469500,1720302000,24065600,0,1079309000,4866100,1222500,4995000,0,2878229700,0,13888000,0,220151900,1799900,16388000,11956000,0,255086500,519270300
28-Sep-2018,ASTR,EQUITY,50400000,0,0,200,0,606500,186900,0,82500,0,40000,916100,0,0,0,0,11000,0,2000,0,200000,213000
28-Sep-2018,ATIC,EQUITY,1875010000,840,0,206517200,0,0,11861500,0,0,0,0,218378700,0,572043410,0,100,131200,0,0,0,0,572174710
28-Sep-2018,ATPK,EQUITY,5760245414,194,334100,20100,18900,0,213977994,3675000,0,0,0,218026094,0,3651000,3400000,366222000,1161500,0,516047807,0,100059129,990541436
28-Sep-2018,AUTO,EQUITY,4819733000,1410,486600,55265087,224075,0,102160993,79205200,1625695,22500,75,238990225,0,322184724,2443500,207965626,828325,135048300,11723386,0,43497857,723691718
28-Sep-2018,BABP,EQUITY,21785053618,50,117226924,9117347805,0,0,1706510016,438443776,1063600,0,0,11380592121,0,7979969610,0,869994222,9966800,0,2601883,0,1324078446,10186610961
28-Sep-2018,BACA,EQUITY,7069425335,282,125805000,3770450663,0,12686999,1025924142,1561648546,350166535,0,0,6846681885,0,0,0,0,2000,0,50090,0,222691360,222743450
28-Sep-2018,BAJA,EQUITY,1800000000,119,0,88003100,0,0,311669700,0,0,50000,0,399722800,0,0,0,0,277200,0,0,0,0,277200
28-Sep-2018,BALI,EQUITY,3634476700,1620,86037038,2582660862,0,0,389864100,82623400,88211100,0,0,3229396500,0,0,0,65000000,10200,31625000,0,0,308395000,405030200
28-Sep-2018,BAPA,EQUITY,661784520,116,0,600373800,0,0,53797203,0,1321017,0,0,655492020,0,1032500,0,575000,66300,2878600,1735100,0,0,6287500
28-Sep-2018,BASS,EQUITY,1756533500,0,0,345928500,0,121000000,172074500,0,203158000,500,250000,842411500,0,0,0,11236500,0,0,196000,0,7115000,18547500
28-Sep-2018,BATA,EQUITY,1300000000,610,0,0,0,50000,34310600,1340600,12000,5800,0,35719000,0,0,0,72571600,2016400,39100000,3140800,0,66171100,182999900
28-Sep-2018,BAYU,EQUITY,353220780,2250,43246185,103002336,0,27384,38657422,17853600,11880,0,0,202798807,0,0,0,129155448,844,0,9000,0,13405545,142570837
28-Sep-2018,BBCA,EQUITY,24655010000,24000,511503632,612303446,205620000,4000,797148273,445226251,4490554,13892700,488323,2590677179,108137053,518970251,1161653003,764660092,18051244,3597088396,286445702,76101790,1973954514,8505062045
28-Sep-2018,BBHI,EQUITY,4184431795,190,40000000,362500500,0,0,1029266995,11935500,15051000,0,0,1458753995,0,0,0,0,2566800,0,0,0,0,2566800
