Queue,OrderNo,Time,Stock,BS,Brd,Price,Rls,Opn,Inv,Brk,Message
978,979,8:45:00,PTBA,B,RG,2420,10000,10000,D,,Open
1495,1496,8:45:00,PTBA,B,RG,2420,1,1,D,,Open
2620,2621,8:45:00,PTBA,B,RG,2420,20,20,D,,Open
3848,3849,8:45:00,PTBA,B,RG,2420,1,1,D,,Open
7302,7303,8:45:00,PTBA,B,RG,2420,74,74,D,,Open
8303,8304,8:45:00,PTBA,B,RG,2420,50,50,D,,Open
10676,10677,8:45:00,PTBA,B,RG,2420,10,10,D,,Open
12133,12134,8:45:00,PTBA,B,RG,2420,2,2,D,,Open
12762,12763,8:45:00,PTBA,B,RG,2420,1,1,D,,Open
14689,14690,8:45:00,PTBA,B,RG,2420,10,0,D,,Withdrawn
17951,17952,8:45:01,PTBA,B,RG,2420,25,0,D,,Withdrawn
18822,18823,8:45:01,PTBA,B,RG,2420,9,9,D,,Open
19425,19426,8:45:01,PTBA,B,RG,2420,500,0,D,,Withdrawn
22548,22549,8:45:01,PTBA,B,RG,2420,2000,0,D,,Withdrawn
22947,22948,8:45:01,PTBA,B,RG,2420,1000,1000,D,,Open
24774,24775,8:45:01,PTBA,B,RG,2420,5,5,D,,Open
26226,26227,8:45:01,PTBA,B,RG,2420,100,100,D,,Open
26476,26477,8:45:01,PTBA,B,RG,2420,100,100,D,,Open
26873,26874,8:45:01,PTBA,B,RG,2420,50,50,D,,Open
26957,26958,8:45:01,PTBA,B,RG,2420,250,0,D,,Withdrawn
27872,27873,8:45:01,PTBA,B,RG,2420,1,1,D,,Open
34672,34673,8:45:02,PTBA,B,RG,2420,20,20,D,,Open
35828,35829,8:45:02,PTBA,B,RG,2420,13,13,D,,Open
36325,36326,8:45:02,PTBA,B,RG,2420,210,0,D,,Withdrawn
38734,38735,8:45:03,PTBA,B,RG,2420,1,1,D,,Open
38816,38817,8:45:03,PTBA,B,RG,2420,20,20,D,,Open
43074,43075,8:45:04,PTBA,B,RG,2420,100,100,D,,Open
46470,46471,8:45:05,PTBA,B,RG,2420,200,200,D,,Open
47238,47239,8:45:05,PTBA,B,RG,2420,80,80,D,,Open
52206,52207,8:45:08,PTBA,B,RG,2420,50,50,D,,Open
53936,53937,8:45:09,PTBA,B,RG,2420,1,1,D,,Open
54731,54732,8:45:10,PTBA,B,RG,2420,5,5,D,,Open
54934,54935,8:45:10,PTBA,B,RG,2420,100,0,D,,Withdrawn
54948,54949,8:45:10,PTBA,B,RG,2420,50,50,D,,Open
56820,56821,8:45:13,PTBA,B,RG,2420,1,1,D,,Open
57287,57288,8:45:14,PTBA,B,RG,2420,100,0,D,,Withdrawn
57323,57324,8:45:14,PTBA,B,RG,2420,5,5,D,,Open
57443,57444,8:45:14,PTBA,B,RG,2420,25,25,D,,Open
58932,58933,8:45:16,PTBA,B,RG,2420,20,20,D,,Open
59439,59440,8:45:17,PTBA,B,RG,2420,30,30,D,,Open
60067,60068,8:45:18,PTBA,B,RG,2420,30,30,D,,Open
60179,60180,8:45:18,PTBA,B,RG,2420,10,10,D,,Open
60551,60552,8:45:19,PTBA,B,RG,2420,100,100,D,,Open
60749,60750,8:45:19,PTBA,B,RG,2420,1,1,D,,Open
60756,60757,8:45:19,PTBA,B,RG,2420,2,2,D,,Open
61638,61639,8:45:20,PTBA,B,RG,2420,5,5,D,,Open
62750,62751,8:46:02,PTBA,B,RG,2420,1,1,D,,Open
67902,67903,8:52:59,PTBA,B,RG,2420,100,0,D,,Withdrawn
69251,69252,8:54:52,PTBA,B,RG,2420,10,10,D,,Open
117586,117587,9:00:03,PTBA,B,RG,2420,20,20,D,,Open
265528,265529,9:00:26,PTBA,B,RG,2420,2,0,D,,Withdrawn
321177,321178,9:02:02,PTBA,B,RG,2420,1,0,D,,Withdrawn
369429,369430,9:04:15,PTBA,B,RG,2420,200,0,D,,Withdrawn
409053,409054,9:06:08,PTBA,B,RG,2420,200,200,D,,Open
544653,544654,9:13:36,PTBA,B,RG,2420,50,50,F,,Open
594531,594532,9:16:48,PTBA,B,RG,2420,1,0,D,,Withdrawn
624603,624604,9:18:47,PTBA,B,RG,2420,100,100,D,,Open
754262,754263,9:28:22,PTBA,B,RG,2420,14,14,D,,Open
775127,775128,9:30:07,PTBA,B,RG,2420,40,40,F,,Open
787027,787028,9:31:07,PTBA,B,RG,2420,100,100,D,,Open
794084,794085,9:31:42,PTBA,B,RG,2420,1,1,D,,Open
805311,805312,9:32:37,PTBA,B,RG,2420,5,5,D,,Open
829152,829153,9:34:35,PTBA,B,RG,2420,1,0,D,,Withdrawn
883232,883233,9:39:24,PTBA,B,RG,2420,30,30,D,,Open
919443,919444,9:42:52,PTBA,B,RG,2420,1,1,D,,Open
954092,954093,9:46:23,PTBA,B,RG,2420,10,10,D,,Open
956789,956790,9:46:40,PTBA,B,RG,2420,5,5,D,,Open
1093533,1093534,10:01:38,PTBA,B,RG,2420,1,1,D,,Open
1155564,1155565,10:08:48,PTBA,B,RG,2420,50,50,D,,Open
1297012,1297013,10:26:40,PTBA,B,RG,2420,10,0,D,,Withdrawn
1443442,1443443,10:48:42,PTBA,B,RG,2420,3,3,D,,Open
1780521,1780522,13:38:29,PTBA,B,RG,2420,5,5,F,,Open
1943712,1943713,13:59:57,PTBA,B,RG,2420,1,1,D,,Open
2059472,2059473,14:15:50,PTBA,B,RG,2420,1,1,D,,Open
2221550,2221551,14:37:55,PTBA,B,RG,2420,41,0,D,,Amended
3812,3813,8:45:00,PTBA,B,RG,2430,1,1,D,,Open
7498,7499,8:45:00,PTBA,B,RG,2430,30,30,D,,Open
11895,11896,8:45:00,PTBA,B,RG,2430,100,100,D,,Open
14506,14507,8:45:00,PTBA,B,RG,2430,20,20,D,,Open
18185,18186,8:45:01,PTBA,B,RG,2430,5,5,D,,Open
29775,29776,8:45:02,PTBA,B,RG,2430,2,2,D,,Open
33858,33859,8:45:02,PTBA,B,RG,2430,30,30,D,,Open
38110,38111,8:45:03,PTBA,B,RG,2430,100,100,D,,Open
46786,46787,8:45:05,PTBA,B,RG,2430,5,5,D,,Open
53082,53083,8:45:09,PTBA,B,RG,2430,6,6,D,,Open
57299,57300,8:45:14,PTBA,B,RG,2430,50,50,D,,Open
60233,60234,8:45:18,PTBA,B,RG,2430,5,5,D,,Open
62035,62036,8:45:25,PTBA,B,RG,2430,5,5,D,,Open
62756,62757,8:46:02,PTBA,B,RG,2430,3,3,D,,Open
64689,64690,8:48:12,PTBA,B,RG,2430,600,600,D,,Open
546454,546455,9:13:43,PTBA,B,RG,2430,50,50,F,,Open
555271,555272,9:14:17,PTBA,B,RG,2430,10,10,D,,Open
623865,623866,9:18:44,PTBA,B,RG,2430,11,11,D,,Open
866290,866291,9:37:51,PTBA,B,RG,2430,5,0,D,,Withdrawn
904298,904299,9:41:23,PTBA,B,RG,2430,200,200,D,,Open
1443178,1443179,10:48:39,PTBA,B,RG,2430,1,1,D,,Open
1689341,1689342,13:30:03,PTBA,B,RG,2430,15,15,D,,Open
1779665,1779666,13:38:22,PTBA,B,RG,2430,4,4,F,,Open
663,664,8:45:00,PTBA,B,RG,2440,50,50,D,,Open
3804,3805,8:45:00,PTBA,B,RG,2440,1,1,D,,Open
11748,11749,8:45:00,PTBA,B,RG,2440,100,0,D,,Withdrawn
30455,30456,8:45:02,PTBA,B,RG,2440,21,21,D,,Open
33222,33223,8:45:02,PTBA,B,RG,2440,5,5,D,,Open
43380,43381,8:45:04,PTBA,B,RG,2440,3,3,D,,Open
49390,49391,8:45:06,PTBA,B,RG,2440,100,0,D,,Withdrawn
56602,56603,8:45:13,PTBA,B,RG,2440,17,0,D,,Withdrawn
57188,57189,8:45:14,PTBA,B,RG,2440,5,5,D,,Open
57289,57290,8:45:14,PTBA,B,RG,2440,50,0,D,,Withdrawn
57292,57293,8:45:14,PTBA,B,RG,2440,112,112,D,,Open
62410,62411,8:45:44,PTBA,B,RG,2440,5,5,D,,Open
62749,62750,8:46:02,PTBA,B,RG,2440,2,2,D,,Open
67977,67978,8:53:04,PTBA,B,RG,2440,25,25,D,,Open
183573,183574,9:00:08,PTBA,B,RG,2440,15,15,D,,Open
220663,220664,9:00:11,PTBA,B,RG,2440,10,10,D,,Open
523645,523646,9:12:20,PTBA,B,RG,2440,99,99,D,,Open
549178,549179,9:13:53,PTBA,B,RG,2440,50,50,F,,Open
561894,561895,9:14:42,PTBA,B,RG,2440,10,10,D,,Open
1153562,1153563,10:08:32,PTBA,B,RG,2440,100,100,D,,Open
1676821,1676822,11:29:54,PTBA,B,RG,2440,2,2,D,,Open
3487,3488,8:45:00,PTBA,B,RG,2450,50,50,D,,Open
3801,3802,8:45:00,PTBA,B,RG,2450,1,1,D,,Open
3916,3917,8:45:00,PTBA,B,RG,2450,50,50,D,,Open
7511,7512,8:45:00,PTBA,B,RG,2450,25,25,D,,Open
9367,9368,8:45:00,PTBA,B,RG,2450,20,20,D,,Open
11448,11449,8:45:00,PTBA,B,RG,2450,200,200,D,,Open
12138,12139,8:45:00,PTBA,B,RG,2450,1,1,D,,Open
14206,14207,8:45:00,PTBA,B,RG,2450,70,70,D,,Open
15246,15247,8:45:00,PTBA,B,RG,2450,70,70,D,,Open
18598,18599,8:45:01,PTBA,B,RG,2450,5,5,D,,Open
20595,20596,8:45:01,PTBA,B,RG,2450,15,15,D,,Open
22333,22334,8:45:01,PTBA,B,RG,2450,8,8,D,,Open
22692,22693,8:45:01,PTBA,B,RG,2450,1,1,D,,Open
23113,23114,8:45:01,PTBA,B,RG,2450,300,300,D,,Open
24639,24640,8:45:01,PTBA,B,RG,2450,100,100,D,,Open
25651,25652,8:45:01,PTBA,B,RG,2450,1,1,D,,Open
26318,26319,8:45:01,PTBA,B,RG,2450,100,0,D,,Withdrawn
27927,27928,8:45:01,PTBA,B,RG,2450,1,0,D,,Withdrawn
29701,29702,8:45:02,PTBA,B,RG,2450,5,5,D,,Open
30052,30053,8:45:02,PTBA,B,RG,2450,10,10,D,,Open
31266,31267,8:45:02,PTBA,B,RG,2450,100,100,D,,Open
31369,31370,8:45:02,PTBA,B,RG,2450,25,25,D,,Open
33123,33124,8:45:02,PTBA,B,RG,2450,200,200,D,,Open
33221,33222,8:45:02,PTBA,B,RG,2450,5,0,D,,Withdrawn
33224,33225,8:45:02,PTBA,B,RG,2450,5,5,D,,Open
33664,33665,8:45:02,PTBA,B,RG,2450,300,300,D,,Open
35105,35106,8:45:02,PTBA,B,RG,2450,1,1,D,,Open
36514,36515,8:45:02,PTBA,B,RG,2450,500,500,D,,Open
39339,39340,8:45:03,PTBA,B,RG,2450,4,4,D,,Open
40757,40758,8:45:03,PTBA,B,RG,2450,20,20,D,,Open
42729,42730,8:45:04,PTBA,B,RG,2450,2,2,D,,Open
42919,42920,8:45:04,PTBA,B,RG,2450,8,8,D,,Open
44540,44541,8:45:04,PTBA,B,RG,2450,1,1,D,,Open
44761,44762,8:45:04,PTBA,B,RG,2450,6,6,D,,Open
45905,45906,8:45:05,PTBA,B,RG,2450,80,80,D,,Open
49120,49121,8:45:06,PTBA,B,RG,2450,12,12,D,,Open
52464,52465,8:45:08,PTBA,B,RG,2450,5,5,D,,Open
56407,56408,8:45:13,PTBA,B,RG,2450,3,3,D,,Open
56696,56697,8:45:13,PTBA,B,RG,2450,50,50,D,,Open
56813,56814,8:45:13,PTBA,B,RG,2450,1,1,D,,Open
57304,57305,8:45:14,PTBA,B,RG,2450,50,0,D,,Withdrawn
58026,58027,8:45:15,PTBA,B,RG,2450,1,1,D,,Open
60189,60190,8:45:18,PTBA,B,RG,2450,5,5,D,,Open
60465,60466,8:45:19,PTBA,B,RG,2450,10,10,D,,Open
61284,61285,8:45:20,PTBA,B,RG,2450,4,4,D,,Open
62755,62756,8:46:02,PTBA,B,RG,2450,1,1,D,,Open
63959,63960,8:47:02,PTBA,B,RG,2450,15,15,D,,Open
67770,67771,8:52:48,PTBA,B,RG,2450,100,100,D,,Open
68778,68779,8:54:12,PTBA,B,RG,2450,10,10,D,,Open
69380,69381,8:54:59,PTBA,B,RG,2450,5,5,D,,Open
261983,261984,9:00:23,PTBA,B,RG,2450,450,450,D,,Open
315223,315224,9:01:45,PTBA,B,RG,2450,1,0,D,,Amended
423062,423063,9:06:50,PTBA,B,RG,2450,3,3,D,,Open
424756,424757,9:06:55,PTBA,B,RG,2450,2000,2000,D,,Open
439742,439743,9:07:40,PTBA,B,RG,2450,35,35,D,,Open
558785,558786,9:14:30,PTBA,B,RG,2450,10,10,D,,Open
692079,692080,9:23:29,PTBA,B,RG,2450,20,20,D,,Open
746348,746349,9:27:43,PTBA,B,RG,2450,10,0,D,,Withdrawn
787955,787956,9:31:12,PTBA,B,RG,2450,100,100,D,,Open
950375,950376,9:46:00,PTBA,B,RG,2450,4,4,D,,Open
1094184,1094185,10:01:43,PTBA,B,RG,2450,1,1,D,,Open
1406606,1406607,10:43:21,PTBA,B,RG,2450,30,30,D,,Open
1696105,1696106,13:30:04,PTBA,B,RG,2450,20,20,D,,Open
1754177,1754178,13:34:26,PTBA,B,RG,2450,10,10,D,,Open
1778828,1778829,13:38:15,PTBA,B,RG,2450,4,4,F,,Open
218,219,8:45:00,PTBA,B,RG,2460,4,4,D,,Open
2475,2476,8:45:00,PTBA,B,RG,2460,50,50,D,,Open
3462,3463,8:45:00,PTBA,B,RG,2460,50,50,D,,Open
3785,3786,8:45:00,PTBA,B,RG,2460,1,1,D,,Open
4662,4663,8:45:00,PTBA,B,RG,2460,250,250,D,,Open
11328,11329,8:45:00,PTBA,B,RG,2460,30,30,D,,Open
11940,11941,8:45:00,PTBA,B,RG,2460,111,111,D,,Open
13391,13392,8:45:00,PTBA,B,RG,2460,1,1,D,,Open
21645,21646,8:45:01,PTBA,B,RG,2460,5,5,D,,Open
23621,23622,8:45:01,PTBA,B,RG,2460,205,0,D,,Withdrawn
23969,23970,8:45:01,PTBA,B,RG,2460,10,10,D,,Open
27913,27914,8:45:01,PTBA,B,RG,2460,1,0,D,,Withdrawn
37306,37307,8:45:03,PTBA,B,RG,2460,300,300,D,,Open
44766,44767,8:45:04,PTBA,B,RG,2460,50,0,D,,Withdrawn
48010,48011,8:45:05,PTBA,B,RG,2460,12,12,D,,Open
54727,54728,8:45:10,PTBA,B,RG,2460,5,5,D,,Open
57291,57292,8:45:14,PTBA,B,RG,2460,50,0,D,,Withdrawn
57641,57642,8:45:14,PTBA,B,RG,2460,4,4,D,,Open
60755,60756,8:45:19,PTBA,B,RG,2460,50,50,D,,Open
61885,61886,8:45:21,PTBA,B,RG,2460,1000,1000,D,,Open
62748,62749,8:46:02,PTBA,B,RG,2460,3,3,D,,Open
67519,67520,8:52:27,PTBA,B,RG,2460,50,50,D,,Open
172520,172521,9:00:07,PTBA,B,RG,2460,5,5,D,,Open
398809,398810,9:05:38,PTBA,B,RG,2460,20,20,D,,Open
1443016,1443017,10:48:38,PTBA,B,RG,2460,1,1,D,,Open
3431,3432,8:45:00,PTBA,B,RG,2470,50,50,D,,Open
7116,7117,8:45:00,PTBA,B,RG,2470,200,200,D,,Open
9646,9647,8:45:00,PTBA,B,RG,2470,1,1,D,,Open
10399,10400,8:45:00,PTBA,B,RG,2470,8,8,D,,Open
13343,13344,8:45:00,PTBA,B,RG,2470,2,2,D,,Open
24259,24260,8:45:01,PTBA,B,RG,2470,36,36,D,,Open
27923,27924,8:45:01,PTBA,B,RG,2470,1,0,D,,Withdrawn
30183,30184,8:45:02,PTBA,B,RG,2470,10,10,D,,Open
31577,31578,8:45:02,PTBA,B,RG,2470,10,10,D,,Open
34489,34490,8:45:02,PTBA,B,RG,2470,50,50,D,,Open
42425,42426,8:45:04,PTBA,B,RG,2470,55,55,D,,Open
44274,44275,8:45:04,PTBA,B,RG,2470,60,60,D,,Open
48031,48032,8:45:05,PTBA,B,RG,2470,12,12,D,,Open
52018,52019,8:45:08,PTBA,B,RG,2470,121,121,D,,Open
55220,55221,8:45:11,PTBA,B,RG,2470,20,20,D,,Open
56506,56507,8:45:13,PTBA,B,RG,2470,17,0,D,,Withdrawn
60892,60893,8:45:19,PTBA,B,RG,2470,2,2,D,,Open
62743,62744,8:46:02,PTBA,B,RG,2470,1,1,D,,Open
68099,68100,8:53:14,PTBA,B,RG,2470,40,40,D,,Open
560042,560043,9:14:35,PTBA,B,RG,2470,10,10,D,,Open
1400773,1400774,10:42:29,PTBA,B,RG,2470,1000,1000,D,,Open
1778010,1778011,13:38:09,PTBA,B,RG,2470,4,4,F,,Open
1533,1534,8:45:00,PTBA,B,RG,2480,1200,1200,D,,Open
3403,3404,8:45:00,PTBA,B,RG,2480,50,50,D,,Open
5355,5356,8:45:00,PTBA,B,RG,2480,1,0,D,,Withdrawn
6830,6831,8:45:00,PTBA,B,RG,2480,2000,2000,D,,Open
9993,9994,8:45:00,PTBA,B,RG,2480,1,1,D,,Open
13921,13922,8:45:00,PTBA,B,RG,2480,10,0,D,,Amended
22820,22821,8:45:01,PTBA,B,RG,2480,200,200,D,,Open
23452,23453,8:45:01,PTBA,B,RG,2480,100,100,D,,Open
28899,28900,8:45:02,PTBA,B,RG,2480,1,0,D,,Withdrawn
30363,30364,8:45:02,PTBA,B,RG,2480,1,1,D,,Open
31527,31528,8:45:02,PTBA,B,RG,2480,26,26,D,,Open
34942,34943,8:45:02,PTBA,B,RG,2480,10,10,D,,Open
36369,36370,8:45:02,PTBA,B,RG,2480,1,1,D,,Open
41480,41481,8:45:03,PTBA,B,RG,2480,3,3,D,,Open
42077,42078,8:45:03,PTBA,B,RG,2480,15,15,D,,Open
44608,44609,8:45:04,PTBA,B,RG,2480,2,2,D,,Open
46793,46794,8:45:05,PTBA,B,RG,2480,1,1,D,,Open
49119,49120,8:45:06,PTBA,B,RG,2480,12,12,D,,Open
50808,50809,8:45:07,PTBA,B,RG,2480,300,300,D,,Open
51901,51902,8:45:07,PTBA,B,RG,2480,200,200,D,,Open
62745,62746,8:46:02,PTBA,B,RG,2480,3,3,D,,Open
64362,64363,8:47:44,PTBA,B,RG,2480,288,288,D,,Open
64469,64470,8:47:54,PTBA,B,RG,2480,30,30,D,,Open
354939,354940,9:03:33,PTBA,B,RG,2480,5,5,D,,Open
485662,485663,9:10:03,PTBA,B,RG,2480,35,35,D,,Open
949073,949074,9:45:51,PTBA,B,RG,2480,2,2,D,,Open
168,169,8:45:00,PTBA,B,RG,2490,2,2,D,,Open
3374,3375,8:45:00,PTBA,B,RG,2490,50,50,D,,Open
3732,3733,8:45:00,PTBA,B,RG,2490,1,1,D,,Open
6346,6347,8:45:00,PTBA,B,RG,2490,200,200,D,,Open
6723,6724,8:45:00,PTBA,B,RG,2490,200,200,D,,Open
7527,7528,8:45:00,PTBA,B,RG,2490,3500,3500,D,,Open
10327,10328,8:45:00,PTBA,B,RG,2490,20,20,D,,Open
10368,10369,8:45:00,PTBA,B,RG,2490,11,0,D,,Amended
27776,27777,8:45:01,PTBA,B,RG,2490,1,0,D,,Withdrawn
28131,28132,8:45:01,PTBA,B,RG,2490,2,2,D,,Open
28574,28575,8:45:02,PTBA,B,RG,2490,5,5,D,,Open
34780,34781,8:45:02,PTBA,B,RG,2490,10,10,D,,Open
35027,35028,8:45:02,PTBA,B,RG,2490,5,5,D,,Open
38193,38194,8:45:03,PTBA,B,RG,2490,2,2,D,,Open
38855,38856,8:45:03,PTBA,B,RG,2490,8,8,D,,Open
41245,41246,8:45:03,PTBA,B,RG,2490,20,0,D,,Withdrawn
46414,46415,8:45:05,PTBA,B,RG,2490,100,100,D,,Open
47447,47448,8:45:05,PTBA,B,RG,2490,20,20,D,,Open
49094,49095,8:45:06,PTBA,B,RG,2490,12,12,D,,Open
50950,50951,8:45:07,PTBA,B,RG,2490,27,27,D,,Open
50989,50990,8:45:07,PTBA,B,RG,2490,15,15,D,,Open
52205,52206,8:45:08,PTBA,B,RG,2490,10,10,D,,Open
61825,61826,8:45:21,PTBA,B,RG,2490,1000,1000,D,,Open
62744,62745,8:46:02,PTBA,B,RG,2490,1,1,D,,Open
597298,597299,9:16:58,PTBA,B,RG,2490,2,2,D,,Open
1131419,1131420,10:05:40,PTBA,B,RG,2490,1,1,D,,Open
1777111,1777112,13:38:03,PTBA,B,RG,2490,3,3,F,,Open
711,712,8:45:00,PTBA,B,RG,2500,25,25,D,,Open
1430,1431,8:45:00,PTBA,B,RG,2500,1000,1000,D,,Open
1701,1702,8:45:00,PTBA,B,RG,2500,1,1,D,,Open
2721,2722,8:45:00,PTBA,B,RG,2500,50,50,D,,Open
3349,3350,8:45:00,PTBA,B,RG,2500,50,50,D,,Open
3830,3831,8:45:00,PTBA,B,RG,2500,1,1,D,,Open
4211,4212,8:45:00,PTBA,B,RG,2500,500,0,D,,Withdrawn
4428,4429,8:45:00,PTBA,B,RG,2500,50,50,D,,Open
4572,4573,8:45:00,PTBA,B,RG,2500,2,2,D,,Open
6768,6769,8:45:00,PTBA,B,RG,2500,100,100,D,,Open
6785,6786,8:45:00,PTBA,B,RG,2500,300,0,D,,Withdrawn
6941,6942,8:45:00,PTBA,B,RG,2500,10,10,D,,Open
8448,8449,8:45:00,PTBA,B,RG,2500,4,0,D,,Withdrawn
9398,9399,8:45:00,PTBA,B,RG,2500,1,1,D,,Open
9656,9657,8:45:00,PTBA,B,RG,2500,50,50,D,,Open
10232,10233,8:45:00,PTBA,B,RG,2500,52,52,D,,Open
10261,10262,8:45:00,PTBA,B,RG,2500,5,5,D,,Open
10450,10451,8:45:00,PTBA,B,RG,2500,15,15,D,,Open
10512,10513,8:45:00,PTBA,B,RG,2500,6,6,D,,Open
11735,11736,8:45:00,PTBA,B,RG,2500,50,0,D,,Withdrawn
13802,13803,8:45:00,PTBA,B,RG,2500,5,5,D,,Open
14399,14400,8:45:00,PTBA,B,RG,2500,60,60,D,,Open
15240,15241,8:45:00,PTBA,B,RG,2500,60,60,D,,Open
15501,15502,8:45:01,PTBA,B,RG,2500,10,0,D,,Withdrawn
16074,16075,8:45:01,PTBA,B,RG,2500,1,1,D,,Open
16881,16882,8:45:01,PTBA,B,RG,2500,20,20,D,,Open
20041,20042,8:45:01,PTBA,B,RG,2500,15,15,D,,Open
21186,21187,8:45:01,PTBA,B,RG,2500,5,5,D,,Open
22154,22155,8:45:01,PTBA,B,RG,2500,200,200,D,,Open
23703,23704,8:45:01,PTBA,B,RG,2500,10,10,D,,Open
24660,24661,8:45:01,PTBA,B,RG,2500,5,5,D,,Open
25206,25207,8:45:01,PTBA,B,RG,2500,2,0,D,,Withdrawn
25423,25424,8:45:01,PTBA,B,RG,2500,1,1,D,,Open
25936,25937,8:45:01,PTBA,B,RG,2500,2,2,D,,Open
26921,26922,8:45:01,PTBA,B,RG,2500,5,5,D,,Open
27770,27771,8:45:01,PTBA,B,RG,2500,1,0,D,,Withdrawn
28548,28549,8:45:02,PTBA,B,RG,2500,1,1,D,,Open
28988,28989,8:45:02,PTBA,B,RG,2500,20,20,D,,Open
29450,29451,8:45:02,PTBA,B,RG,2500,10,10,D,,Open
29518,29519,8:45:02,PTBA,B,RG,2500,9,9,D,,Open
31189,31190,8:45:02,PTBA,B,RG,2500,25,25,D,,Open
31258,31259,8:45:02,PTBA,B,RG,2500,50,50,D,,Open
31496,31497,8:45:02,PTBA,B,RG,2500,26,26,D,,Open
32905,32906,8:45:02,PTBA,B,RG,2500,2,2,D,,Open
34132,34133,8:45:02,PTBA,B,RG,2500,20,20,D,,Open
35061,35062,8:45:02,PTBA,B,RG,2500,30,30,D,,Open
35934,35935,8:45:02,PTBA,B,RG,2500,30,30,D,,Open
36676,36677,8:45:02,PTBA,B,RG,2500,20,20,D,,Open
37420,37421,8:45:03,PTBA,B,RG,2500,1,1,D,,Open
38412,38413,8:45:03,PTBA,B,RG,2500,25,25,D,,Open
38898,38899,8:45:03,PTBA,B,RG,2500,500,500,D,,Open
39999,40000,8:45:03,PTBA,B,RG,2500,1,0,D,,Withdrawn
40601,40602,8:45:03,PTBA,B,RG,2500,5,5,D,,Open
41215,41216,8:45:03,PTBA,B,RG,2500,20,0,D,,Withdrawn
42137,42138,8:45:03,PTBA,B,RG,2500,10,10,D,,Open
42270,42271,8:45:04,PTBA,B,RG,2500,2,2,D,,Open
42838,42839,8:45:04,PTBA,B,RG,2500,2,2,D,,Open
44153,44154,8:45:04,PTBA,B,RG,2500,10,10,D,,Open
44494,44495,8:45:04,PTBA,B,RG,2500,1,1,D,,Open
46274,46275,8:45:05,PTBA,B,RG,2500,100,100,D,,Open
46382,46383,8:45:05,PTBA,B,RG,2500,20,20,D,,Open
49115,49116,8:45:06,PTBA,B,RG,2500,12,12,D,,Open
49166,49167,8:45:06,PTBA,B,RG,2500,30,0,D,,Withdrawn
49279,49280,8:45:06,PTBA,B,RG,2500,1,1,D,,Open
50454,50455,8:45:07,PTBA,B,RG,2500,10,10,D,,Open
50517,50518,8:45:07,PTBA,B,RG,2500,5,5,D,,Open
52051,52052,8:45:08,PTBA,B,RG,2500,5,5,D,,Open
53972,53973,8:45:09,PTBA,B,RG,2500,100,100,D,,Open
56430,56431,8:45:13,PTBA,B,RG,2500,2,0,D,,Withdrawn
56564,56565,8:45:13,PTBA,B,RG,2500,20,20,D,,Open
57858,57859,8:45:15,PTBA,B,RG,2500,5,5,D,,Open
58427,58428,8:45:15,PTBA,B,RG,2500,6,6,D,,Open
60188,60189,8:45:18,PTBA,B,RG,2500,5,5,D,,Open
60438,60439,8:45:19,PTBA,B,RG,2500,10,10,D,,Open
60585,60586,8:45:19,PTBA,B,RG,2500,1,1,D,,Open
61497,61498,8:45:20,PTBA,B,RG,2500,21,21,D,,Open
61499,61500,8:45:20,PTBA,B,RG,2500,1,0,D,,Withdrawn
62740,62741,8:46:02,PTBA,B,RG,2500,1,1,D,,Open
63592,63593,8:46:27,PTBA,B,RG,2500,25,25,D,,Open
63629,63630,8:46:30,PTBA,B,RG,2500,5,5,D,,Open
64831,64832,8:48:24,PTBA,B,RG,2500,250,250,D,,Open
65579,65580,8:49:30,PTBA,B,RG,2500,1,1,D,,Open
66171,66172,8:50:26,PTBA,B,RG,2500,100,0,D,,Amended
67688,67689,8:52:42,PTBA,B,RG,2500,5,0,D,,Withdrawn
68184,68185,8:53:20,PTBA,B,RG,2500,25,0,D,,Amended
69052,69053,8:54:34,PTBA,B,RG,2500,1,1,D,,Open
132214,132215,9:00:04,PTBA,B,RG,2500,250,250,D,,Open
135489,135490,9:00:04,PTBA,B,RG,2500,20,20,D,,Open
187886,187887,9:00:08,PTBA,B,RG,2500,30,0,D,,Withdrawn
207192,207193,9:00:10,PTBA,B,RG,2500,1,1,D,,Open
267954,267955,9:00:28,PTBA,B,RG,2500,50,0,D,,Withdrawn
277808,277809,9:00:39,PTBA,B,RG,2500,10,10,D,,Open
292029,292030,9:00:56,PTBA,B,RG,2500,69,69,D,,Open
336883,336884,9:02:43,PTBA,B,RG,2500,50,50,D,,Open
339655,339656,9:02:51,PTBA,B,RG,2500,40,0,D,,Withdrawn
347682,347683,9:03:13,PTBA,B,RG,2500,5,0,D,,Amended
352170,352171,9:03:26,PTBA,B,RG,2500,2,2,D,,Open
364871,364872,9:04:02,PTBA,B,RG,2500,100,100,D,,Open
368627,368628,9:04:12,PTBA,B,RG,2500,1,1,D,,Open
371437,371438,9:04:20,PTBA,B,RG,2500,10,0,D,,Withdrawn
377154,377155,9:04:37,PTBA,B,RG,2500,250,250,D,,Open
386010,386011,9:05:02,PTBA,B,RG,2500,10,10,D,,Open
391915,391916,9:05:18,PTBA,B,RG,2500,4,4,D,,Open
400957,400958,9:05:44,PTBA,B,RG,2500,100,100,D,,Open
409698,409699,9:06:10,PTBA,B,RG,2500,10,10,D,,Open
412353,412354,9:06:18,PTBA,B,RG,2500,1,0,D,,Withdrawn
